variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	7.125	0.3886	7.5	1.9365	-1.3016	0.19622	0.31395	7.1458	0.6767	7.0208	0.6288	0.9277	0.35594	0.40679
log10_word_frequency_sdewac	3.0165	0.5869	2.828	0.672	1.4481	0.15092	0.31395	3.0895	0.5885	2.9383	0.5476	1.2895	0.20037	0.36016
word_average_bigram_frequency	26756735.2023	14520804.2409	25213886.2421	16256973.1884	0.4852	0.62863	0.62863	28286848.7344	17957907.9845	28767624.0	14153838.4451	-0.1442	0.88569	0.88569
word_average_trigram_frequency	3226058.6388	3360984.7021	2544403.5058	2538620.9675	1.1095	0.27005	0.36006	4104806.5927	4727105.2241	3104481.3881	3032358.6003	1.2211	0.2251	0.36016
old20_score	7.125	0.3886	7.5	1.9365	-1.3016	0.19622	0.31395	7.1458	0.6767	7.0208	0.6288	0.9277	0.35594	0.40679
predicted_concreteness	2.0235	0.6657	1.5998	0.6255	3.1801	0.00199	0.00798	1.6587	0.5603	2.2733	0.5683	-5.28	0.0	0.0
predicted_auditory	-1.1023	0.6006	1.0489	0.9481	-13.1402	0.0	0.0	-0.5515	1.0139	-1.0274	0.9071	2.3984	0.01844	0.04918
predicted_hand	0.9883	1.0388	0.76	1.2579	0.9591	0.33995	0.38852	-0.0953	0.6488	1.7517	0.696	-13.3078	0.0	0.0
