Table 1
word	Final_rating																
Satin	bad																
Flurstück	bad																
Kopeke	bad																
Siedlung	bad																
Leitungsbahn	bad																
Ballon	bad																
Hermelin	bad																
Tarsus	bad																
Euter	bad																
Gläschen	bad																
Kord	bad																
Infanterie	bad																
Datensatz	bad																
Husar	bad																
Rosenstock	bad																
Unterleib	bad																
Gaumen	bad																
S&P	bad																
Stadthaus	bad																
Süßstoff	bad																
Fotograf	bad																
Ladenhüter	bad																
Verdeck	bad																
Restaurant	bad																
Pissoir	bad																
Röte	bad																
Blinker	bad																
Klecks	good																
Anlegestelle	bad																
Flügel	bad																
Nordhaus	bad																
Tempel	good																
Fangzahn	bad																
Milchzucker	bad																
Pfarrhof	bad																
Kirsche	bad																
Seezunge	bad																
Seestern	bad																
Pyjama	bad																
Kalbfleisch	bad																
Weinrebe	bad																
Gebälk	bad																
Rosette	bad																
Alge	good																
Bioreaktor	bad																
Ziegel	bad																
Gletscher	good																
Ringelblume	bad																
Spurweite	bad																
Skorpion	bad																
Zentrum	bad																
Baum	bad																
Schatzhaus	bad																
Burgstraße	bad																
Spalt	good																
Foliant	bad																
Blazer	bad																
Myrrhe	bad																
Mikroskop	bad																
Bauernhaus	bad																
Kammer	good																
Ammonit	bad																
Frucht	bad																
Sund	bad																
Bindehaut	bad																
Trakt	mid																
Rauhfaser	bad																
Kot	bad																
Rinde	good																
Irrgarten	bad																
Lidschatten	bad																
Blaue	bad																
Suppe	bad																
Emblem	good																
Himmelszelt	bad																
Orange	bad																
Schandfleck	bad																
Krone	bad																
Friedhof	good																
Chrom	bad																
Meersalz	bad																
Holzhaus	bad																
Himmel	good																
Namenszug	bad																
Türpfosten	bad																
Ambrosia	bad																
Mikroalge	bad																
Slum	bad																
Gefieder	mid																
Baumbestand	bad																
Strichcode	bad																
Spring	bad																
Paddock	bad																
Kopfende	bad																
Buschland	bad																
Schleppnetz	bad																
Fliege	bad																
Oststadt	bad																
Blütenstand	bad																
Blume	bad																
Stoßfänger	bad																
Bohrturm	bad																
Wasserdampf	bad																
Kegel	bad																
Hagelkorn	bad																
Schlüpfer	bad																
Blütenpollen	bad																
Sternenstaub	bad																
Fistel	bad																
Fototermin	bad																
Dunkelkammer	bad																
Streifen	bad																
Radstand	bad																
Ziegelstein	bad																
Stamm	good																
Sumpf	good																
Stirn	bad																
Papyrus	bad																
Hockenheim	bad																
Kotflügel	bad																
Palais	bad																
Gourmet	bad																
Nebenfluß	bad																
Kloake	bad																
Grüne	bad																
Griffel	bad																
Karosse	bad																
Tropfen	bad																
Lupine	bad																
Tropf	bad																
Laubengang	bad																
Schrein	bad																
Hirse	bad																
Nilpferd	bad																
Tintenfaß	bad																
Thymian	bad																
Siegel	bad																
Retina	bad																
Antimon	bad																
Fenster	bad																
Zifferblatt	bad																
Fries	bad																
Alaun	bad																
Grab	good																
Kittel	bad																
Leitplanke	good																
Faultier	bad																
Coupé	bad																
Sojabohne	bad																
Bernstein	bad																
Casino	bad																
Wasserlauf	bad																
Mohrrübe	bad																
Autostadt	bad																
Dach	good																
Schleier	bad																
Mantel	bad																
Kapuze	bad																
Augenbraue	bad																
Waschhaus	bad																
Kordon	bad																
Blinddarm	bad																
Radrennbahn	bad																
Teer	good																
Bluter	bad																
Lämpchen	bad																
Schleim	mid 																
Stützpunkt	bad																
Toast	bad																
Kleeblatt	bad																
Mauerwerk	bad																
Bläschen	bad																
Nachbild	bad																
Wunderkerze	bad																
Trikolore	bad																
Baskenmütze	bad																
Muttermal	bad																
Kaviar	bad																
Schemen	bad																
Cafeteria	bad																
Haar	bad																
Blüte	bad																
Höcker	bad																
Frikadelle	bad																
Schattenriß	bad																
Darm	bad																
Spital	bad																
Neon	bad																
Linse	bad																
Cocktail	bad																
Grüngürtel	bad																
Fahrgestell	bad																
Hirnstamm	mid																
Glimmer	bad																
Raupe	mid																
Brombeere	bad																
Unze	bad																
Rumpf	bad																
Lammfleisch	bad																
Asche	good																
Zapfen	good																
Kapillare	bad																
Rezeptur	bad																
Fernglas	bad																
Raster	bad																
Absorber	bad																
Edelstein	bad																
Molekül	bad																
Regenwasser	bad																
Schiffswrack	bad																
Statue	good																
Vorhaut	bad																
Wassergraben	bad																
Wildbret	bad																
Checkpoint	bad																
Judengasse	bad																
Tiara	bad																
Dachgeschoß	bad																
Ovarium	bad																
Totenkopf	bad																
Soutane	bad																
Hoden	bad																
Sparre	bad																
Träne	bad																
Iglu	good																
Bastion	bad																
Tulpe	bad																
Rispe	bad																
Gift	bad																
Schwertfisch	bad																
Rebe	good																
Kaschemme	bad																
Mütze	bad																
Rückleuchte	mid																
Halsband	bad																
Jeans	bad																
Curry	bad																
Berg	bad																
Sextant	bad																
Wimpel	mid																
Kavallerist	bad																
Treppe	bad																
Dreieck	bad																
Küchenzeile	bad																
Siedlerin	sound																
Profil	bad																
Glashaus	bad																
Embryo	bad																
Loch	good																
Stern	mid																
Fadenwurm	mid																
Honig	bad																
Bakterium	good																
Trankopfer	bad																
Haarer	bad																
Mauer	good																
Acker	good																
Pünktchen	bad																
Speiseröhre	bad																
Barett	bad																
Gewürznelke	bad																
Lake	bad																
Oxid	bad																
Marzipan	bad																
Königsplatz	bad																
Fels	good																
Plutonium	bad																
Promenade	sound																
Gerbstoff	bad																
Mahnmal	bad																
Eiermann	bad																
Lichthof	bad																
Salamander	bad																
Riß	bad																
Luftröhre	bad																
Sommerkleid	bad																
Buckel	bad																
Sandbank	bad																
Muschel	bad																
Täfelchen	bad																
Wölkchen	mid																
Supermodel	sound																
Omelette	bad																
Torhaus	bad																
Gewächshaus	bad																
Mosaik	bad																
Uterus	bad																
Schnee	bad																
Paß	bad																
Marstall	bad																
Kismet	bad																
Kellerkind	sound																
Zwinger	bad																
Gefechtskopf	bad																
Südstadt	bad																
Sari	bad																
Erdhügel	good																
Hummer	bad																
Gartenstraße	bad																
Umrandung	bad																
Viech	bad																
Rachenraum	bad																
Beule	good																
Planetarium	bad																
Yoghurt	bad																
Mond	good																
Plätzchen	bad																
Kohlehydrat	bad																
Lava	bad																
Mikrobiologe	sound																
Hörnchen	bad																
Reservoir	bad																
Fackel	bad																
Heimchen	bad																
Baumkrone	bad																
Gebirge	good																
Madonna	bad																
Wannenbad	bad																
Nougat	bad																
Meßfühler	bad																
Languste	bad																
Gipfel	good																
Grabmal	good																
Magen	bad																
Neugeborene	bad																
Schlafraum	bad																
Sumpfland	good																
Zyankali	bad																
Planet	mid																
Pfefferminze	bad																
Faserstoff	bad																
Porträt	good																
Goldene	bad																
Gitter	mid																
Atoll	bad																
Kranz	bad																
Bakterie	bad																
Schnauzbart	bad																
Nautilus	bad																
Soda	bad																
Backbone	bad																
Krematorium	bad																
Staub	mid																
Starterin	bad																
Rindfleisch	bad																
Zimt	bad																
Blase	bad																
Pappel	good																
Eiter	bad																
Lamm	mid																
Schimmel	bad																
Haus	bad																
Beiboot	bad																
Pfahl	good																
Appartement	bad																
Viertel	bad																
Zipfel	good																
Zelle	bad																
Format	bad																
Barrel	bad																
Weichtier	bad																
Glyzerin	bad																
Nektarine	bad																
Schalentier	bad																
Nimbus	bad																
Mast	good																
Nanogramm	bad																
Schwefel	bad																
Okular	bad																
Schlafgemach	bad																
Behaarung	bad																
Yard	bad																
Porree	bad																
Baldrian	bad																
Süßspeise	bad																
Meßbuch	bad																
Prärie	good																
Kartell	bad																
Gegengipfel	bad																
Sandhügel	good																
Flieder	good																
Nessel	good																
Randstein	bad																
Börsenblatt	bad																
Quetzal	bad																
Helm	bad																
Vene	bad																
Pudel	bad																
Kolbenhirse	bad																
Reflektor	mid																
Schal	bad																
Schlot	bad																
Schafgarbe	bad																
Spitze	bad																
Wanze	bad																
Kofferraum	bad																
Speisesalz	bad																
Birke	good																
Bazillus	bad																
Zahnfleisch	bad																
Sediment	mid																
Morast	mid																
Ecke	bad																
Gürtelrose	bad																
Kutte	bad																
Eisenhut	bad																
Filmmaterial	bad																
Oberhaut	bad																
Zuckerbrot	bad																
Nabel	bad																
Lunge	bad																
Sonnenbad	bad																
Champignon	bad																
Salz	bad																
Skelett	bad																
Parzelle	bad																
Säule	mid																
Topas	bad																
Binde	bad																
Basilikum	bad																
Fahrkarte	bad																
Portrait	good																
Vorbau	bad																
Tragfläche	bad																
Schattenbild	bad																
Hochstraße	bad																
Schlamm	good																
Rind	bad																
Gasse	mid																
Laich	bad																
Frontscheibe	bad																
Netzhaut	bad																
Bazar	bad																
Kadaver	bad																
Heidekraut	bad																
Törtchen	bad																
Amulett	bad																
Limonade	bad																
Zecke	bad																
Parfum	bad																
Marone	bad																
Anorak	bad																
Dunst	mid																
Atrium	bad																
Birne	bad																
Meeresfrucht	bad																
Zähnchen	bad																
Swastika	bad																
Barfüßer	bad																
Stammheimer	bad																
Infarkt	bad																
Patientin	sound																
Flußpferd	bad																
Hieroglyphe	bad																
Lilie	bad																
Relief	bad																
Karpfen	bad																
Münsterplatz	bad																
Spiegel	bad																
Aquädukt	good																
Herd	bad																
Rost	bad																
Plattfisch	bad																
Raute	bad																
Erde	mid																
Bachstraße	bad																
Paraffin	bad																
Sardelle	bad																
Köpfchen	bad																
Ulan	bad																
Borax	bad																
Schienenbahn	bad																
Stachelbeere	bad																
Heidelbeere	bad																
Qualm	mid																
Felsgestein	bad																
Villa	bad																
Walroß	bad																
Kreuzotter	bad																
Erdboden	bad																
Stadtrand	bad																
Wegweiser	good																
Schellfisch	bad																
Deck	bad																
Leuchtdiode	bad																
Käfer	bad																
Fleckchen	bad																
Gefach	bad																
Vietnamesin	bad																
Blättchen	bad																
