Words	Pseudoword	Included	Sound	Action	Letters	n_Syllables	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean																																																																
Pfosten	Zwasten	1	0	0	7	2	1,33		1,73		3,13		5,75	0,68	1,92	3,42	516739,64	372254,3	0	0	0	1	1	754,42	0,92	0,91	916																																																																
Piranha	Ziransi	1	0	0	7	3	1,38	1,02	1,19	0,54	3,88	1,86	5,25	1,29	0,19	1,28	115322,36	21896,68	1	1	1	1	1	864,58	1	1	879,67																																																																
Pistole	Zostose	1	1	1	7	3	5,19	0,91	5	1,32	4,63	1,31	5,31	1,54	9,63	4,28	268006,25	160533,63	0	0	0	0,83	0,82	862,67	1	1	689,83																																																																
Posaune	Nogaufe	1	1	1	7	3	5,56		4,19		3,94		5,1	1,48	2,49	2,57	293926,84	156696,83	0	0	0	1	1	705,08	1	1	802,5																																																																
Spritze	Sprenze	1	0	1	7	2	1,33	0,49	5,44	0,78	4,67	1,53	5,61	0,92	4,32	4,28	237886,49	167758,9	0	0	0	1	1	940,75	1	1	811,42																																																																
Tablett	Kakrett	1	0	1	7	2	1,38	0,81	4,75	1,34	3,63	1,89	5,69	0,6	4,08	2,57	170026,46	100505,88	0	0	0	0,92	0,91	1056,92	0,75	0,82	1230																																																																
Telefon	Kelehin	1	1	1	7	3	5,63	1,02	5,56	0,89	3,75	1,34	6	0	16,09	3,42	297327,17	221799,33	0	0	0	1	1	876,25	1	1	721,75																																																																
Tornado	Horkada	1	1	0	7	3	4,26	1,76	1,26	0,69	4,33	1,59	4,86	1,35	1,84	1,71	62849,6	17267,46	1	0	0	0,67	0,73	972,83	1	1	974,83																																																																
Trommel	Fremmel	1	1	1	7	2	5,75	0,77	5,31	1,14	3,81	1,68	5,75	0,58	10,33	4,28	97301,68	38622,73	0	0	0	1	1	733,42	1	1	674,42																																																																
Turbine	Buldife	1	1	0	7	3	5,38	0,96	3,25	1,84	3,38	1,54	5,06	1,44	1,37	1,71	288657,27	175095,07	0	0	0	1	1	897,58	0,67	0,64	921,92																																																																
Ukulele	Uturese	1	1	1	7	4	5,5	1,03	5,25	1,13	4,06	1,81	5,31	1,08	0,05	0	231168,07	146201,83	0	0	0	1	1	763,33	0,92	0,91	749,08																																																																
Zwiebel	Plaubel	1	0	1	7	2	1,13		3,87		4,53		6	0	10,5	2,57	198597,89	39841,26	1	0	0	1	1	798,42	0,58	0,55	883,92																																																																
Brandung	Grannung	1	1	0	8	2	4,48	1,59	1,57	0,9	3,67	1,62	5,05	1,07	2,4	2,57	279687,47	104630,02	1	0	0																																																																						
Bumerang	Wunerall	1	0	1	8	3	2		5,13		4,6		4,57	1,63	0,29	0,43	344400,82	80070,8	0	0	0	0,82	0,8	967,45	0,83	0,91	886,67																																																																
Eidechse	Eibernde	1	0	0	8	3	1,2		1,47		4,73		5,79	0,51	2,58	0,86	430487,24	166911,75	1	1	1	1	1	828,25	1	1	717,92																																																																
Himbeere	Tisteere	1	0	1	8	3	1		4,13		4,93		5,96	0,2	1,29	2,14	407858,34	161743,24	1	0	0	1	1	820,67	0,58	0,55	879,83																																																																
Känguruh	Hänfusum	1	0	0	8	3	1,88	0,72	1,25	0,58	4,81	1,42	5,38	1,02	0,52	1,71	129437,35	55648,2	1	1	1	1	1	917,67	1	1	870,5																																																																
Keyboard	Toadaubs	1	1	1	8	2	5,27		4,33		3,8		5,63	0,92	0,46	1,28	89819,45	56202,91	0	0	0	0,92	0,91	815,08	1	1	835,92																																																																
Krawatte	Klanette	1	0	1	8	3	1	0	5,22	1,06	4,78	1,73	5,83	0,51	6,34	1,28	288680,65	180859,26	0	0	0	1	1	802,08	0,83	0,82	902																																																																
Mikrofon	Midrohin	1	1	1	8	3	5,13	1,59	5,19	1,11	3,75	1,69	5,63	1,26	1,23	1,28	259945,89	227306,33	0	0	0	0,92	1	934,92	0,92	0,91	851,42																																																																
Peitsche	Nautsche	1	1	1	8	2	4,44		4,31		3,88		4,9	1,41	5,54	5,57	485878,63	239442,87	0	0	0	0,83	0,82	832,75	0,92	0,91	947,5																																																																
Pinzette	Pinnitte	1	0	1	8	3	1,25	0,58	5,13	1,36	4,56	1,79	5,63	1,02	0,78	1,28	344974,26	177314,22	0	0	0	1	1	761,75	0,92	0,91	947,83																																																																
Plakette	Klafatte	1	0	0	8	3	1		2		3,67		5,63	0,88	0,78	0,86	280006,21	174522,98	0	0	0	0,92	0,91	991,92	0,67	0,64	1117,83																																																																
Portrait	Portrame	1	0	0	8	2	1		1,67		5,2		5,79	0,59	1,1	2,57	204082,58	119815,63	0	0	0	1	1	757,25	0,92	0,91	1082,75																																																																
Revolver	Reveswer	1	1	1	8	3	5,22	0,81	5,28	1,13	4	1,19	5,28	1,18	7,01	2,14	332816,65	217893,21	0	0	0	1	1	796,25	1	1	698,92																																																																
Satellit	Batentit	1	0	0	8	3	1		1,47		3,87		4,81	1,44	5,67	0,86	323723,37	145496,84	0	0	0	0,92	0,91	867,75	0,83	0,82	954,92																																																																
Säugling	Härkling	1	1	1	8	2	5,11	0,9	5	1,57	4,67	1,33	5,67	0,84	8,5	3	208608,29	81521,76	1	1	1	0,83	0,82	984,42	0,75	0,73	958,5																																																																
Saxophon	Sajofran	1	1	1	8	3	5,69		4,56		4,38		5,19	1,33	0,92	1,71	257689,01	238741,46	0	0	0	1	1	620,75	1	1	760,75																																																																
Schnecke	Schrezle	1	0	0	8	2	1		1,53		4,93		5,92	0,28	9,29	4,71	373486,23	181049,81	1	1	1																																																																						
Schraube	Schmaure	1	0	1	8	2	1,63	0,96	4,88	1,15	4,13	1,67	5,75	0,58	4,24	3	410232,09	180989,58	0	0	0	0,92	0,91	902	0,83	0,82	923,33																																																																
Skorpion	Grinpion	1	0	0	8	3	1,38	0,62	1,13	0,34	4,75	1,29	5,25	1,39	1,49	2,14	282929,56	241811,71	1	1	1	1	1	765,92	1	1	794,67																																																																
Skulptur	Stumptum	1	0	0	8	2	1		1,33		4,87		5,75	0,74	4,71	1,71	170180,68	145275,94	0	0	0	1	1	736,92	0,67	0,73	1096,75																																																																
Triangel	Spoangeg	1	1	1	8	3	5,6		4,4		4,2		5,79	0,51	0,54	0,86	219195,7	50092,5	0	0	0	1	1	695,5	1	1	710,33																																																																
Trompete	Frirpete	1	1	1	8	3	5,89	0,32	5,28	1,02	4,44	1,72	5,67	0,97	5,13	3	262055,61	169258,53	0	0	0	1	1	605,92	1	1	756,17																																																																
Xylophon	Dylodran	1	1	1	8	3	5,56	0,92	5,17	1,15	4	1,5	5,33	0,97	0,67	1,28	234226,88	210626,68	0	0	0	1	1	750,25	1	1	765,08																																																																
Abbildung	Undilgung	1	0	0	9	3	1,07		1,67		4,53		5,75	0,61	16,48	0,86	178401,1	96428,91	0	0	0	1	1	745,25	0,75	0,73	1141,5																																																																
Akkordeon	Urwardein	1	1	1	9	4	5,5		4,38		4,44		5,1	1,37	0,64	1,71	380732,22	240358,22	0	0	0	1	1	712,58	1	1	743,42																																																																
Chamäleon	Slanülein	1	0	0	9	4	1,31	0,48	1,25	0,58	4,75	1,53	5	1,63	0,69	0,86	288829,8	213100,87	1	1	1	1	1	863,83	1	1	800,17																																																																
Fundament	Äsgamenz	1	0	0	9	3	1		1,8		2,4		5,05	1,36	11,24	2,57	474188,97	147037,8	0	0	0	1	1	774,58	0,92	0,91	896,25																																																																
Kartoffel	Konsoffel	1	0	1	9	3	1,19	0,54	4,25	1,48	4,13	1,59	6	0	23,81	1,71	122215,51	42915,28	1	0	0	1	1	755,33	0,67	0,64	916,08																																																																
Margerite	Hilberite	1	0	0	9	4	1	0	1,96	1,36	4,29	1,68	4,67	1,2	0,38	2,57	542744,44	194490	1	1	0	1	1	946,33	1	1	1113,5																																																																
Mikroskop	Mikrimkoh	1	0	1	9	3	1,36		4,47		4,8		5,75	0,74	3,16	2,14	47777,08	19570,09	0	0	0	1	1	934,67	1	1	864																																																																
Propeller	Grizeller	1	1	0	9	3	4,81	1,72	3,19	1,56	3,5	1,97	5,38	0,96	0,93	1,71	385997,73	227500,66	0	0	0	0,83	0,91	950,5	0,75	0,73	952,58																																																																
Serviette	Werkiette	1	0	1	9	4	1,33	0,59	5	1,14	3,5	1,98	5,83	0,51	4,84	2,14	519759,56	196098,33	0	0	0	1	1	718,92	0,83	0,82	970,67																																																																
Triebwerk	Kriebwenz	1	1	0	9	2	4,67	1,64	3,06	1,63	2,89	1,53	4,72	1,32	1,11	1,28	316879,75	31471,54	0	0	0	0,83	0,91	912,42	0,58	0,55	999,42																																																																
Zigarette	Nidolette	1	0	1	9	4	1,74	0,86	5,57	0,66	4,52	1,47	5,67	0,97	30,56	5,14	334419,85	174686,1	0	0	0	1	1	851,08	1	1	872,58																																																																
Zwetschge	Dritschge	1	0	1	9	2	1		4,07		4,53		5,5	0,83	0,28	0,86	417326,85	187357,07	1	0	0	0,92	0,91	983,42	0,58	0,64	1232,33																																																																
Klarinette	Smaridifte	1	1	1	10	4	5,56	0,89	5,13	1,15	4,19	1,38	5,56	1,03	1,4	1,71	430851,11	204808,46	0	0	0	0,92	0,91	698,83	1	1	740,27																																																																
Kontrabass	Kartrabage	1	1	1	10	3	5,25		4,44		4		5,05	1,2	0,02	0	209664,62	93015,71	0	0	0	1	1	696,92	1	1	810,83																																																																
Marionette	Malialoste	1	0	1	10	5	1,96	1,22	4,74	1,25	4,33	1,39	5,1	1,26	1,72	0,86	378080,32	193395,03	0	0	0	0,92	0,91	933,58	0,92	0,91	1137,42																																																																
Nachtigall	Pachtigits	1	1	0	10	3	5,07		1,73		4,2		4,62	1,4	2,93	3,42	282618,13	74393,76	1	1	1	0,83	0,82	795,67	1	1	917,83																																																																
Salamander	Dasosander	1	0	0	10	4	1,28	0,57	1,17	0,38	5,11	0,96	5,22	1,17	0,94	1,28	572007,24	298140,5	1	1	1	1	1	827,67	1	1	756,67																																																																
Schimpanse	Scheldanse	1	1	0	10	3	4,13	1,41	1,75	0,68	5	1,03	5,5	0,89	4,72	0,43	417024,85	183277,75	1	1	1	0,92	0,91	942,92	1	1	867,25																																																																
Schlagzeug	Schwagzerl	1	1	1	10	2	5,94	0,24	5,44	0,78	4,39	1,65	5,61	0,92	2,66	1,28	245903,1	76206,52	0	0	0	1	1	757,67	1	1	757,5																																																																
Wasserfall	Rasserfing	1	1	0	10	3	5	1,18	1,26	0,56	5	1,05	5,48	1,03	2,5	1,71	323446,57	59704,51	1	0	0	0,92	0,91	893,08	1	1	985,75																																																																
Rotkehlchen	Sotfeppchen	1	1	0	11	3	4,36		1,36		4,6		5,75	0,68	0,47	0,43	603191,51	385767,32	1	1	1	0,83	0,82	964,42	1	1	855,5																																																																
Lautsprecher	Leifstrecher	1	1	0	12	3	5,53		2,07		2,86		5,88	0,45	5,38	1,71	574902,86	255788,66	0	0	0	1	1	817,67	0,33	0,36	1011,17																																																																
Wellensittich	Sillennettich	1	1	0	13	4	4,2		2,33		4,87		5,63	0,65	0,81	0,86	598266,23	176372,35	1	1	1	0,58	0,64	955,25	0,67	0,64	996,58																																																																
Ananas	Enadis	1	0	1	6	3	1,07		4		5		5,92	0,28	1,19	4,71	174957,33	103196,34	1	0	0	1	1	713,83	0,58	0,55	881,33	NATURAL																																																															
Antilope	Hurigoje	1	0	0	8	4	2	1,03	1,19	0,54	3,69	1,7	4,88	1,59	1,12	1,28	220832,6	157916,29	1	1	1	1	1	944,67	1	1	765,58																																																																
Bongo	Wondo	1	1	1	5	2	5,65	0,7	4,88	1,41	3,69	1,82	4,56	1,58	0,43	10,7	90283,54	25636,93	0	0	0	0,75	0,73	877,75	0,83	0,82	948,75																																																																
Cembalo	Cobmalo	1	1	1	7	3	5,47		4,47		3,33		4	2,02	0,93	3	64853,24	11010,25	0	0	0	0,92	0,91	847	0,92	0,91	863,83																																																																
Elch	Drun	1	1	0	4	1	4,06	1,21	1,11	0,32	5,22	0,65	5,56	0,7	0,56	7,71	185548,39	94825,14	1	1	1	0,42	0,45	941	1	1	712,67	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)																																																															
Geröll	Gedüll	1	1	0	6	2	4,22	1,51	1,57	0,95	3,1	1,41	5,1	1,18	1,74	3,85	227314,51	41118,98	1	0	0	0,42	0,45	999	1	1	918,17	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)																																																															
Häcksler	Säpstler	1	1	1	8	2	5,29	1,06	4,79	1,4	3,5	1,54	4,76	1,41	0,02	0	332664,27	207372,85	0	0	0	1	1	844	0,75	0,73	959,33																																																																
Hornisse	Korzesse	1	1	0	8	3	3,69	1,49	1,56	0,81	4,69	1,4	5,44	1,09	0,78	0,43	276129,73	165135,08	1	1	1	0,5	0,45	906,25	0,92	0,91	812,5	nur wenn nötig (im Pilot für Geräusch gleich viele inkongruente & kongruente Antworten)																																																															
Kapuze	Tasuhe	1	0	1	6	3	1,11	0,32	4,67	1,08	4,72	1,41	5,83	0,38	1,37	1,71	160567,35	148940,82	0	0	0	1	1	742	0,67	0,64	1051,58																																																																
Kommode	Kaffode	1	0	1	7	3	1,56	0,78	4,56	1,34	4	1,64	5,78	0,55	3,28	2,14	270843,47	163695,98	0	0	0	0,83	0,91	941,25	0,67	0,64	1041																																																																
Otter	Emtes	1	0	0	5	2	1,74	0,75	1,13	0,34	3,86	1,74	5,24	1,09	0,4	7,71	371645,07	219330,57	1	1	1	0,67	0,64	806,83	1	1	816,42																																																																
Pullover	Äsrower	1	0	1	8	3	1,26	0,54	4,74	1,25	4,48	1,5	5,86	0,36	3,88	2,14	330143,66	213297,6	0	0	0	0,92	0,91	770,58	0,67	0,64	991,75																																																																
Vulkan	Kunkon	1	1	0	6	2	3,95	1,4	1,16	0,37	5,68	0,58	5,1	1,37	3,27	4,28	259837,63	216121,04	1	0	0	0,42	0,45	882,08	0,92	0,91	920	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)																																																															
Abzeichen	Erkiechen	0,93	0	0	9	3	1,13		2		4,2		5,75	0,61	3,74	3	713450,44	447736,53	0	0	0	1	1	813,5	0,58	0,55	1025,67	"MAN-MADE; Notfall x (abstrakt, aber konkreter als Abbildung)"																																																															
Aushang	Pulhaht	0,93	0	0	7	2	1		2,53		3,67		5,83	0,48	0,5	1,71	172226,57	79671,15	0	0	0	1	1	820	0,58	0,64	907,75	MAN-MADE																																																															
Gemälde	Gemohle	0,93	0	0	7	3	1		1,93		5,73		5,83	0,56	16,82	3,85	280868,54	165400	0	0	0	1	1	734,92	0,5	0,55	911,67	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: MAN-MADE"																																																															
Getriebe	Zegreibe	0,93	1	0	8	3	4,5	1,58	3,22	1,44	2,39	1,24	4,67	1,19	4,96	3,85	337924,6	173781,12	0	0	0	0,67	0,64	962,33	0,42	0,36	961	besser nicht (im Pilot für Handlung mehr inkongruente Antworten als kongruente)																																																															
Kiwi	Siwo	0,93	0	1	4	2	1,07		3,87		4,47		6	0	0,26	7,28	39048,22	22679,22	1	0	0	0,92	0,91	833,67	0,5	0,55	800,92	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: NATURAL"																																																															
Laus	Lees	0,93	0	0	4	1	1,06	0,25	1,63	0,81	3,13	1,54	4,81	1,76	3,01	30,82	123753,81	90088,05	1	1	1	1	1	797,83	1	1	793,58																																																																
Orange	Ibinge	0,93	0	1	6	3	1,56	0,81	3,88	1,31	4,81	1,64	5,81	0,54	4,03	6,42	301726,67	163528,27	1	0	0	0,92	0,91	835,42	0,58	0,55	881,25	NATURAL																																																															
Plakat	Dranat	0,93	0	0	6	2	1		1,87		4,8		5,88	0,45	13,73	3,42	136838,87	101441,81	0	0	0	1	1	709,08	0,5	0,55	979,5	"nur wenn nötig (im Pilot für Handlung gleich viele inkongruente & kongruente Antworten); aber: MAN-MADE"																																																															
Termite	Bertate	0,93	0	0	7	3	1,6	0,83	1,27	0,46	3,29	1,59	4,31	1,54	1,32	1,71	440509,28	180259,46	1	1	1	0,92	0,91	918,33	1	1	923,83	Gesa: Ist sehr ähnlich zu Ameise -> wenn beide Included, dann verschiedene Listen																																																																																																																																																										
Anzug	Absus	0,9	0	1	5	2	1,26	0,62	4,74	1,29	5	1,05	5,81	0,4	19,3	2,57	81329,37	53091,14	0	0	0																																																																						
Ausweis	Pulwies	0,9	0	1	7	2	1	0	4,44	1,25	4,28	1,9	6	0	6,14	2,57	246277,69	107033,64	0	0	0																																																																						
Becher	Heches	0,9	0	1	6	2	1,56	0,78	5,33	0,91	4,17	1,82	6	0	11,4	17,55	485226,1	259847,7	0	0	0																																																																						
Beutel	Säutel	0,9	0	1	6	2	1,5	0,73	4,25	1,53	3,44	1,36	5,94	0,25	5,44	7,71	166925,3	55385,15	0	0	0																																																																						
Bikini	Tikifa	0,9	0	1	6	3	1,13	0,34	4,61	1,27	4,95	1,36	5,81	0,51	0,37	0,86	127555,45	29661,79	0	0	0																																																																						
Blinker	Kninger	0,9	1	1	7	2	4,04	1,02	4,96	1,02	4,38	1,66	5,76	0,62	0,66	5,57	419936,01	216358,74	0	0	0	0,33	0,27	837,83	0,58	0,64	1111,75	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)																																																															
Bluse	Spude	0,9	0	1	5	2	1,17	0,58	4,43	1,34	4,14	1,62	5,86	0,36	6,78	6,85	209552,84	156817,51	0	0	0																																																																						
Bombe	Sämbe	0,9	1	1	5	2	5,33	0,91	4,67	1,08	3,17	1,58	5,33	1,33	21,71	8,13	201836,5	153029,5	0	0	0	1	1	809,33	0,58	0,64	1084,25																																																																
Dohle	Zühle	0,9	1	0	5	2	4,13	1,77	1,07	0,27	3,21	1,42	4,31	1,62	0,47	8,99	195045,62	159599,48	1	1	1																																																																						
Eimer	Jämer	0,9	0	1	5	2	1,75	1,13	4	1,46	4,19	1,6	5,75	0,77	7,15	11,56	326205,33	214364,96	0	0	0																																																																						
Flamingo	Glaninga	0,9	0	0	8	3	1,61	0,66	1,35	0,88	5,52	0,68	5,33	1,2	0,37	1,71	173293,13	27315,87	1	1	1																																																																						
Geschütz	Geschärm	0,9	1	1	8	2	4,88	1,41	4,71	1,26	3,65	1,5	4,78	1,48	14,26	2,57	255244,83	74023,38	0	0	0	0,67	0,64	1001,5	0,67	0,73	1101,25																																																																
Giraffe	Girürke	0,9	0	0	7	3	1,89	1,08	1,22	0,55	5,61	0,7	5,61	0,85	0,95	2,14	200765,75	152846,51	1	1	1																																																																						
Hamburger	Hosnumger	0,9	0	1	10	3	1,61	0,84	4,78	1,28	4,76	1,45	5,71	0,56	21,16	5,99	392083,7	216709,6	0	0	0																																																																						
Herd	Helk	0,9	0	1	4	1	1		4,88		3,56		5,96	0,2	8,48	20,12	233112,99	61184,13	0	0	0																																																																						
Hose	Wode	0,9	0	1	4	2	1,26	0,62	4,78	1,35	4,43	1,5	5,95	0,22	22,22	26,54	185529,61	149527,39	0	0	0																																																																						
Hubschrauber	Pufschnauner	0,9	1	0	12	3	5,2		2,47		4,73		5,88	0,45	3,05	2,57	576997,42	261612,89	0	0	0	1	1	766,67	0,25	0,18	1094,33	besser nicht (im Pilot für Handlung mehr inkongruente Antworten als kongruente)																																																															
Hupe	Esze	0,9	1	1	4	2	5,94		3,81		1,81		5,62	0,67	2,19	15,41	148437,22	142955,23	0	0	0																																																																						
Jeans	Jauhn	0,9	0	1	5	1	1,43	0,79	5	1,17	4,52	1,25	5,9	0,3	1,64	7,71	133375,48	75610,77	0	0	0																																																																						
Karpfen	Koiffen	0,9	0	0	7	2	1,38	0,62	1,88	0,89	3,88	1,71	4,75	1,81	2,57	3,85	425556,95	345461,6	1	1	1																																																																						
Krabbe	Spabbe	0,9	0	0	6	2	1,61	0,78	1,57	1,04	4,62	1,47	5,24	1,14	2,04	3,85	223150,23	150573,59	1	1	1							intuitiv mit Handlungen assoziiert (essen)																																																															
Krebs	Krehl	0,9	0	0	5	1	1,52	0,73	1,7	1,06	4,57	1,72	5,62	0,97	11,34	6,42	134744,6	81666,28	1	1	1							intuitiv mit Handlungen assoziiert (essen)																																																															
Makrele	Taklese	0,9	0	0	7	3	1,31	0,6	1,88	0,72	3,13	1,86	4,13	1,63	0,56	0,43	253909,3	160078,72	1	1	1							intuitiv mit Handlungen assoziiert (essen)																																																															
Metronom	Techonym	0,9	1	0	8	3	5,25		2,63		3,06		5,46	0,98	0,28	0,86	125453,35	54893,33	0	0	0	0,75	0,82	895,33	0,33	0,36	1092,58	besser nicht (im Pilot für Handlung mehr inkongruente Antworten als kongruente)																																																															
Spaghetti	Frapfatti	0,9	0	1	9	3	1,43	0,66	4,78	1,28	5,05	1,12	5,95	0,22	1	0,43	146578	38903,03	0	0	0							"highly similar concept to ""Nudel"" -> choose one"																																																															
Spinne	Frinze	0,9	0	0	6	2	1,06	0,24	1,78	0,94	4,94	1,3	5,67	0,69	6,31	5,99	300152,88	179095,09	1	1	1																																																																						
Stier	Prier	0,9	1	0	5	1	3,94	1,39	1,89	1,13	5,22	0,81	5,5	1,04	5,8	9,85	411345,48	235880,34	1	1	1	0,33	0,27	1052,75	1	1	908	besser nicht (im Pilot für Geräusch mehr inkongruente Antworten als kongruente)																																																															
Tiger	Zäger	0,9	1	0	5	2	3,72	1,49	1,28	0,57	5,44	0,86	5,61	1,14	7,85	11,99	368896,1	214913,3	1	1	1							Notfall x																																																															
Weste	Soste	0,9	0	1	5	2	1,26	0,62	4,87	1,1	4,1	1,45	5,52	0,81	4,9	25,69	324340,86	192576,94	0	0	0																																																																						
Wurm	Grup	0,9	0	0	4	1	1		1,8		4,27		5,92	0,28	9,48	10,7	66213,18	45739,49	1	1	1																																																																						
Zeichnung	Neichtung	0,9	0	1	10	2	1,3	0,76	5,13	1,1	4,48	1,5	5,81	0,51	22,76	1,28	411236,21	134172,6	0	0	0							"similar concept to ""Skizze"" -> best choose one"																																																															
Kind		0,9	1	1	4	1	4,72	0,89	4,78	1,77	4,78	1,17	5,89	0,32	493,52	24,83	192011,5	93138,76	1	1	1							"NATURAL; extremely high frequent as compared to other words"																																																															
Biene		0,9	1	1	5	2	5,1		3,7		4,3		5,96	0,2	11,69	13,7	451558,35	172133,74	1	1	1							NATURAL																																																															
Esel		0,9	1	0	4	2	3,81	1,33	2,75	1,44	4,69	1,25	5,56	0,73	8,83	13,7	95840,41	37716,3	1	1	1							Notfall x (vgl. Stier?)																																																															
Zecke		0,9	0	0	5	2	1,06	0,24	1,89	1,02	4,22	1,8	5,39	0,98	0,54	12,41	168046,9	145459,88	1	1	1																																																																						
Igel		0,9	0	0	4	2	1,53		1,8		5,33		5,96	0,2	2,16	5,57	113268,43	29382,28	1	1	1																																																																						
Panda		0,9	0	0	6	2	1,61	0,72	1,39	0,66	5,43	0,87	5,43	1,08	0,23	11,56	146178,09	31912,39	1	1	1																																																																						
Fuchs		0,9	0	0	5	1	1,74	0,92	1,3	0,56	5,14	1,39	5,57	1,08	12,57	8,99	218631,76	88885,64	1	1	1																																																																						
Luchs		0,9	0	0	5	1	1,94	1,06	1,11	0,32	5,11	1,32	5,22	1,22	0,96	11,99	215930,34	86205,26	1	1	1																																																																						
Messer		0,9	0	1	6	2	1,25		5,38		4		6	0	28,28	16,27	396679,19	225248,53	0	0	0																																																																						
Jacke		0,9	0	1	5	2	1,44	0,7	5,28	0,83	4,44	1,42	6	0	10,55	14,98	171677,05	142381,23	0	0	0																																																																						
Meißel		0,9	1	1	6	2	4	1,53	5,28	1,02	4,11	1,78	4,94	1,3	1,07	5,14	150622,02	37861,78	0	0	0																																																																						
Mantel		0,9	0	1	6	2	1,44	0,92	5,17	0,86	4,17	1,58	5,72	0,83	34,11	11,56	206497,24	54848,89	0	0	0																																																																						
Tablette		0,9	0	1	8	3	1,17	0,38	5,17	0,86	4,17	1,86	5,94	0,24	2,53	2,14	295345,23	174867,02	0	0	0							"highly similar concept to ""Pille"" & highly similar word form to ""Tablett"" -> choose one"																																																															
Tasche		0,9	0	1	6	2	1,44	0,86	5,11	0,96	3,89	1,71	5,94	0,24	38,08	11,99	372425,32	218229,47	0	0	0																																																																						
Stuhl		0,9	0	1	5	1	1,75	1,06	4,94	1,34	4,5	1,71	5,94	0,25	50,37	7,71	66264,3	49745,4	0	0	0																																																																						
Leiter		0,9	0	1	6	2	1,57	0,9	4,83	0,98	4,62	1,6	5,71	0,56	69,21	14,55	488458,05	241557,14	0	0	0																																																																						
Koffer		0,9	0	1	6	2	1,72	0,75	4,78	1,11	4,33	1,68	5,94	0,24	20,23	6,42	313198	214604,64	0	0	0							Gesa: finde ich auch gut																																																															
Umschlag		0,9	0	1	8	2	1,56	0,78	4,67	1,08	3,94	1,63	5,89	0,32	11,64	2,57	233197,89	79985,05	0	0	0							"highly similar concept to ""Kuvert"" -> choose one"																																																															
Kleid		0,9	0	1	5	1	1,26	0,54	4,65	1,23	4,67	1,39	5,81	0,51	47,85	8,99	172907,03	62133,44	0	0	0																																																																						
Toast		0,9	0	1	6	1	1,78	0,74	4,65	1,27	4,1	1,64	5,86	0,36	2,92	6,85	159120,82	108321,09	0	0	0																																																																						
Puppe		0,9	0	1	5	2	1,75	0,86	4,63	1,15	4,81	1,33	5,81	0,75	10,43	10,27	149794,25	144305,84	0	0	0																																																																						
Rekorder		0,9	1	1	8	3	4,22	1,48	4,48	1,27	3,19	1,21	5,24	1,04	0,17	1,71	434381,92	260058,61	0	0	0							macht selbst kein Geräusch, aber trotzdem stark mit Geräuschen assoziiert																																																															
Schrank		0,9	0	1	7	1	1,56	0,96	4,38	1,86	4,06	1,53	6	0	15,98	6,42	256755,07	52214,53	0	0	0																																																																						
Apfel		0,9	0	1	5	2	2		4,33		4,33		5,96	0,2	13,15	4,71	75850,81	39992,64	1	0	0							NATURAL																																																															
Regal		0,9	0	1	5	2	1,06	0,24	4,33	1,53	4,17	1,54	5,83	0,51	6,52	10,27	73293,53	32012,73	0	0	0																																																																						
Krone		0,9	0	1	5	2	1,26	0,54	4,22	1,57	5,48	0,87	5,71	0,56	31,31	12,41	225971,33	161811,26	0	0	0																																																																						
Wiege		0,9	0	1	5	2	1,6		4,13		4,4		5,67	0,64	5,85	12,41	303828,48	164258,77	0	0	0																																																																						
Torte		0,9	0	1	5	2	1,44	0,73	4,13	1,5	4,75	1,18	5,94	0,25	2,62	16,7	259228,49	172835,84	0	0	0							"highly similar concept to ""Kuchen"" -> choose one"																																																															
Magnet		0,9	0	1	6	2	1,06		4,06		2,06		5,88	0,34	3	5,14	179263,71	110843,09	0	0	0																																																																						
Reis		0,9	0	1	4	1	1,33		3,93		4,07		5,96	0,2	7,77	29,54	197902,82	88007,15	1	0	0							NATURAL																																																															
Paprika		0,9	0	1	7	3	1		3,87		4,27		6	0	2,81	1,71	56136,44	22355,38	1	0	0							NATURAL																																																															
Peperoni		0,9	0	1	8	4	1,07		3,87		4,53		5,88	0,34	0,04	0,43	245648,47	22682,97	1	0	0							NATURAL																																																															
Gurke		0,9	0	1	5	2	1,44	0,7	3,83	1,42	4,56	1,62	6	0	4,41	7,28	183221,4	150251,76	1	0	0							NATURAL																																																															
Mandarine		0,9	0	1	9	4	1,56	0,86	3,83	1,5	4,67	1,33	6	0	1,02	2,14	439952,95	202887,48	1	0	0							NATURAL																																																															
Olive		0,9	0	1	5	3	1		3,8		4,73		5,92	0,28	1,68	6,85	176649,76	136265,14	1	0	0							NATURAL																																																															
