variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	8.5	1.7798	7.9818	3.054	1.5877	0.11364	0.29896	7.0086	2.5546	7.3867	2.5028	-1.2061	0.22885	0.36615
log10_word_frequency_sdewac	2.8039	0.7443	2.945	0.7212	-1.2448	0.21438	0.29896	3.079	0.8111	2.9275	0.6834	1.6461	0.10093	0.36615
word_average_bigram_frequency	28756474.7222	15061172.3093	27828931.0736	17096505.7923	0.3893	0.69739	0.69739	25325473.1643	15802532.1652	28113941.8588	16953784.6781	-1.3649	0.17346	0.36615
word_average_trigram_frequency	3006990.6576	2522859.7835	2819313.0593	2671522.4982	0.4786	0.63262	0.69739	2781637.3566	3268860.3276	3048010.2809	3148673.6898	-0.6704	0.50321	0.67095
old20_score	8.5	1.7798	7.9818	3.054	1.5877	0.11364	0.29896	7.0086	2.5546	7.3867	2.5028	-1.2061	0.22885	0.36615
predicted_concreteness	1.727	0.543	1.6182	0.7045	1.2184	0.22422	0.29896	1.9451	0.34	1.9464	0.4683	-0.0257	0.9795	0.9795
predicted_auditory	-1.1436	0.7696	1.2525	1.172	-17.8624	0.0	0.0	-0.8723	1.0785	-0.8894	1.2043	0.1199	0.90467	0.9795
predicted_hand	0.7705	1.4226	0.4829	1.2663	1.349	0.17856	0.29896	-0.1287	0.5641	1.9266	0.9858	-19.984	0.0	0.0
