word	old20 score (based on the top 35502 lemmas in sdewac)
Jod	3.0
Tauchgang	9.0
Unterwelt	9.0
Bedingung	9.0
Kürzel	6.0
Holländer	9.0
Schrein	7.0
Fax	3.0
Aufwachen	9.0
Gegnerin	8.0
Studentin	9.0
Finanzamt	9.0
Abteilung	9.0
Universitätsbibliothek	22.0
Budget	6.0
Abschreckung	12.0
Pupille	7.0
Staude	6.0
Mais	4.0
Assistent	9.0
Disco	5.0
Kassiererin	11.0
Vorgeschmack	12.0
Promotion	9.0
Unterschrift	12.0
Kaufvertrag	11.0
Vorschuß	8.0
Bläschen	8.0
Facette	7.0
Gebirge	7.0
Ausspruch	9.0
Sachverhalt	11.0
Fortbewegung	12.0
Atom	4.0
Faszination	11.0
Präzision	9.0
Ehrlichkeit	11.0
Selbstbild	10.0
Verwalter	9.0
Ankläger	8.0
Hang	4.0
Sichtweise	10.0
Chemie	6.0
Haushalt	8.0
Ausdrucksform	13.0
Dozentin	8.0
Fakultät	8.0
Privileg	8.0
Partnerschaft	13.0
Bausparvertrag	14.0
Ohnmacht	8.0
Polizeiwache	12.0
Exzellenz	9.0
Attacke	7.0
Nostalgie	9.0
Großteil	8.0
Klare	5.0
Kunstgeschichte	15.0
Sammler	7.0
Vampir	6.0
Kilo	4.0
Dampfer	7.0
Staatsanwalt	12.0
Straftat	8.0
Inhaltsverzeichnis	18.0
Galaxis	7.0
Sympathie	9.0
Kugelschreiber	14.0
Steuererklärung	15.0
Eintrittskarte	14.0
Kontaktaufnahme	15.0
Intention	9.0
Ausstieg	8.0
Karikatur	9.0
Fiasko	6.0
Beteiligte	10.0
Predigt	7.0
Gymnasiast	10.0
Aufstehen	9.0
Prozent	7.0
Regime	6.0
Färbung	7.0
Patriot	7.0
Podest	6.0
Schnupfen	9.0
Republik	8.0
Hörsaal	7.0
Seminarraum	11.0
Waschbecken	11.0
Blockade	8.0
Fortgang	8.0
Schulbuch	9.0
Verdammnis	10.0
Blüte	5.0
Beraterin	9.0
Problematik	11.0
Selbsthilfegruppe	17.0
Parken	6.0
Ami	3.0
Geschehnis	10.0
Leber	5.0
Uniklinik	9.0
Institut	8.0
Stadtpark	9.0
Hetze	5.0
Anhieb	6.0
Exodus	6.0
Übergriff	9.0
Abschrift	9.0
Herstellung	11.0
Farbgebung	10.0
Adreßbuch	9.0
Bankverbindung	14.0
Kontoauszug	11.0
Kärtchen	8.0
Fachwerkhaus	12.0
Giebel	6.0
Anhalter	8.0
Eigenbedarf	11.0
Windel	6.0
Koffein	7.0
Arbeitsraum	11.0
Marmelade	9.0
Gürtel	6.0
Unterricht	10.0
Wortlaut	8.0
Bedacht	7.0
Offensive	9.0
Pazifismus	10.0
Mitgefühl	9.0
Blödsinn	8.0
Manier	6.0
Erdreich	8.0
Befund	6.0
Fach	4.0
Kratzer	7.0
Kick	4.0
Vorstand	8.0
Magersucht	10.0
Verkäuferin	11.0
Patenschaft	11.0
Rauschgift	10.0
Pastor	6.0
Starke	6.0
Klumpen	7.0
Wehmut	6.0
Einstellung	11.0
Selbständigkeit	15.0
Anschauung	10.0
Japaner	7.0
Weggang	7.0
Honig	5.0
Heimatmuseum	12.0
Pech	4.0
Kochbuch	8.0
Hochachtung	11.0
Sportler	8.0
Plazierung	10.0
Errettung	9.0
Unsichtbare	11.0
Doktorarbeit	12.0
Protestbewegung	15.0
Bahnlinie	9.0
Wehr	4.0
Naturgesetz	11.0
Kappe	5.0
Allianz	7.0
Todesstrafe	11.0
Lenkrad	7.0
Laufbahn	8.0
Tischler	8.0
Affinität	9.0
Eine	4.0
Galerie	7.0
Satan	5.0
Kreuzfahrt	10.0
Kniegelenk	10.0
Betrachtungsweise	17.0
Antrag	6.0
Inschrift	9.0
Placebo	7.0
Asthma	6.0
Trophäe	7.0
Karneval	8.0
Fotografieren	13.0
Ausschreibung	13.0
Leiterin	8.0
Bundeswehr	10.0
Basar	5.0
Bedürfnis	9.0
Nuance	6.0
Drehbuch	8.0
Empfinden	9.0
Terror	6.0
Landschaftsbild	15.0
Bundeskanzler	13.0
Andeutung	9.0
Krise	5.0
Gastfreundschaft	16.0
Kitsch	6.0
Versuchung	10.0
Mitbewerber	11.0
Halsband	8.0
Fluggast	8.0
Gaststätte	10.0
Diskothek	9.0
Klischee	8.0
Regelmäßigkeit	14.0
Bargeld	7.0
Tapete	6.0
Nahe	4.0
Raumstation	11.0
Packung	7.0
Messe	5.0
Bücherei	8.0
Stadtteil	9.0
Fernsehsender	13.0
Archäologe	10.0
Spitzenleistung	15.0
Saison	6.0
Abkürzung	9.0
Zusammenhalt	12.0
Kuchen	6.0
Untergrund	10.0
Huf	3.0
Galopp	6.0
Gegenzug	8.0
Auszahlung	10.0
Schmuckstück	12.0
Loyalität	9.0
Karate	6.0
Talkshow	8.0
Pinsel	6.0
Hafer	5.0
Sahne	5.0
Apfel	5.0
Verräter	8.0
Birne	5.0
Tanzfläche	10.0
Schraube	8.0
Facharbeit	10.0
Ausrüstung	10.0
Handtasche	10.0
Sauberkeit	10.0
Sensor	6.0
Sammeln	7.0
Stacheldraht	12.0
Sportverein	11.0
Geben	5.0
Ballett	7.0
Mechanismus	11.0
Anatomie	8.0
Lebensende	10.0
Tragik	6.0
Cocktail	8.0
Weiterentwicklung	17.0
Illegale	8.0
Wechselspiel	12.0
Waisenkind	10.0
Beisein	7.0
Vertreter	9.0
Anwendung	9.0
Heimreise	9.0
Intellekt	9.0
Betracht	8.0
Umbau	5.0
Kasper	6.0
Stiefvater	10.0
Weiterfahrt	11.0
Neuron	6.0
Zaum	4.0
Einigung	8.0
Schlachthof	11.0
Nachwirkung	11.0
Präsidium	9.0
Fachmann	8.0
Ersatz	6.0
Gebrauchsanweisung	18.0
Heimkehr	8.0
Strategie	9.0
Weltbild	8.0
Einsturz	8.0
Verbot	6.0
Vertreterin	11.0
Tagesschau	10.0
Rennen	6.0
Rechtfertigung	14.0
Durchmesser	11.0
Beil	4.0
Visier	6.0
Biographie	10.0
Einzelteil	10.0
Spielzeit	9.0
Anhang	6.0
Eck	3.0
$	2.0
Prozession	10.0
Trotz	5.0
Textilie	8.0
Trubel	6.0
Rübe	4.0
Hure	4.0
Buffet	6.0
Grill	5.0
Vibration	9.0
Krankenbett	11.0
Mitspieler	10.0
Beleg	5.0
Springen	8.0
Spuk	4.0
Ellenbogen	10.0
Regler	6.0
Reflexion	9.0
Pudel	5.0
Lilie	5.0
mm	2.0
Regelwerk	9.0
Zwischenzeit	12.0
Marke	5.0
Bettwäsche	10.0
Schwelle	8.0
Schwerpunkt	11.0
Trend	5.0
Redaktion	9.0
Fräulein	8.0
Ratlosigkeit	12.0
Auftrieb	8.0
Rampe	5.0
Stumpf	6.0
Sackgasse	9.0
Siegeszug	9.0
Boutique	8.0
Story	5.0
Pfanne	6.0
Fahrplan	8.0
Weggefährte	11.0
Präsident	9.0
Kanal	5.0
Extremfall	10.0
Fallschirm	10.0
Vorgehensweise	14.0
Selbstsicherheit	16.0
Dialekt	7.0
Weibchen	8.0
Anstoß	6.0
Horoskop	8.0
Tulpe	5.0
Marihuana	9.0
Reiseleitung	12.0
Reim	4.0
Nachdruck	9.0
Farbton	7.0
Araber	6.0
Dumme	5.0
Suite	5.0
Normale	7.0
Rebell	6.0
Zerrissenheit	13.0
Drama	5.0
Ausstattung	11.0
Steuerberater	13.0
Individualität	14.0
Enthusiasmus	12.0
Sieger	6.0
Tinte	5.0
Abgang	6.0
Besitzerin	10.0
Johannesburg	12.0
Verkauf	7.0
Milieu	6.0
Perspektive	11.0
Schub	5.0
Aufwind	7.0
Kompetenz	9.0
Irre	4.0
Inder	5.0
Kapitän	7.0
Ingenieur	9.0
Stärkere	8.0
Gerichtssaal	12.0
Sphäre	6.0
Germane	7.0
Abordnung	9.0
Einer	5.0
Gehilfe	7.0
Komposition	11.0
Büchse	6.0
Apotheke	8.0
Test	4.0
Wörtchen	8.0
Musical	7.0
Unzufriedenheit	15.0
Erlaubnis	9.0
Weltherrschaft	14.0
Waffenstillstand	16.0
Konfrontation	13.0
Lehrkraft	9.0
Werben	6.0
Bestimmung	10.0
Sumpf	5.0
Tabak	5.0
Nachfolge	9.0
Schmach	7.0
XP	2.0
Weltreise	9.0
Personalien	11.0
Spalte	6.0
Aquarium	8.0
Gelenk	6.0
Fußmarsch	9.0
Vernissage	10.0
Karpfen	7.0
Gedenkstätte	12.0
Ablage	6.0
Joghurt	7.0
Button	6.0
Idealismus	10.0
Mehrfamilienhaus	16.0
Geltung	7.0
Wahrscheinlichkeit	18.0
Brutalität	10.0
Heilungschance	14.0
Atemweg	7.0
Gesellschafterin	16.0
Absolutismus	12.0
Zweite	6.0
Resignation	11.0
Hochsommer	10.0
Erwerbsleben	12.0
Genugtuung	10.0
Biotop	6.0
Einleitung	10.0
Verdrängung	11.0
Lebensart	9.0
Erziehung	9.0
Inkarnation	11.0
Motorik	7.0
Komitee	7.0
Sängerin	8.0
Spital	6.0
Hygiene	7.0
Dienstreise	11.0
Grundfläche	11.0
Windrad	7.0
Temperament	11.0
Psychoanalytiker	16.0
Kundschaft	10.0
Aufstellen	10.0
Mitschülerin	12.0
Bekanntgabe	11.0
Auftauchen	10.0
Offenheit	9.0
Professionalität	16.0
Hirte	5.0
Sensibilität	12.0
Anteilnahme	11.0
Vergrößerung	12.0
Einnahmequelle	14.0
Trainerin	9.0
Waldweg	7.0
Verknüpfung	11.0
Einweisung	10.0
Moral	5.0
Randgruppe	10.0
Immunsystem	11.0
Klima	5.0
Armut	5.0
Lebensgefühl	12.0
Lebensstandard	14.0
Tutor	5.0
Kreuzer	7.0
Miteinander	11.0
Annahme	7.0
Aufsicht	8.0
Aussterben	10.0
Reisepaß	8.0
Schläger	8.0
Pelz	4.0
Ausrottung	10.0
Tonfall	7.0
Perfektion	10.0
Zusammensein	12.0
Schleuse	8.0
Allgemeine	10.0
Angesicht	9.0
Interessent	11.0
Massenmord	10.0
Kaplan	6.0
Bundestag	9.0
Grüne	5.0
Brite	5.0
Marsch	6.0
Patentamt	9.0
Weiße	5.0
Hinterland	10.0
Gespür	6.0
Klugheit	8.0
Piste	5.0
OP	2.0
Fitneß	6.0
Kollektion	10.0
String	6.0
Fernsehprogramm	15.0
Spielfilm	9.0
Lehrjahr	8.0
Übrige	6.0
Obst	4.0
Behälter	8.0
Private	7.0
Christus	8.0
Ausgrabung	10.0
Wissenschaft	12.0
Schürze	7.0
Österreicher	12.0
Obstbaum	8.0
Luftfeuchtigkeit	16.0
Innenraum	9.0
Einreise	8.0
Benennung	9.0
Institution	11.0
Einzug	6.0
Bürgerschaft	12.0
Kaufhaus	8.0
Kofferraum	10.0
Kot	3.0
Urin	4.0
Elfenbein	9.0
Muttersprache	13.0
Evolution	9.0
Bekleidung	10.0
Mitgliedsstaat	14.0
Union	5.0
Austritt	8.0
Straßenzug	10.0
Seligkeit	9.0
Mangelware	10.0
Sicherung	9.0
Laterne	7.0
Neonazi	7.0
Hauptschule	11.0
Unterkunft	10.0
Betätigung	10.0
Selbstbewußtsein	16.0
Zerstreuung	11.0
Landkreis	9.0
Berater	7.0
Interessante	12.0
Betrachtung	11.0
Sucht	5.0
Gegenseitigkeit	15.0
Kameradschaft	13.0
Ekstase	7.0
Szenerie	8.0
Zeh	3.0
Anwohner	8.0
Vergebung	9.0
Börse	5.0
Eindringling	12.0
Blutung	7.0
Stillstand	10.0
Schlamm	7.0
Garn	4.0
Mittelpunkt	11.0
Vorderseite	11.0
Wiederentdeckung	16.0
Direktion	9.0
Füllung	7.0
Niemandsland	12.0
Einfamilienhaus	15.0
Nordosten	9.0
Normalfall	10.0
Verlag	6.0
Nu	2.0
Improvisation	13.0
Moderator	9.0
Geschwätz	9.0
Ärgernis	8.0
Strapaze	8.0
Seife	5.0
Shampoo	7.0
Familiengericht	15.0
Speisesaal	10.0
Sportunterricht	15.0
Turnschuh	9.0
Kenner	6.0
Fachgebiet	10.0
Grundprinzip	12.0
Ressentiment	12.0
Zugehörigkeit	13.0
Untergeschoß	12.0
Grundstock	10.0
Alltagskultur	13.0
Neuankömmling	13.0
Fischart	8.0
Wörterbuch	10.0
Zeitalter	9.0
Anonymität	10.0
Gral	4.0
Templer	7.0
Zusammenspiel	13.0
Ghetto	6.0
Zweifelsfall	12.0
Oper	4.0
Anbetracht	10.0
Tageszeit	9.0
Delikatesse	11.0
Biergarten	10.0
Unterredung	11.0
Abgesandte	10.0
Parlament	9.0
Weissagung	10.0
Backofen	8.0
Grube	5.0
Fresko	6.0
Initiative	10.0
Laboratorium	12.0
Lebensgeschichte	16.0
Einrichtungsgegenstand	22.0
Grundstück	10.0
Chronik	7.0
Wichtigkeit	11.0
Lockerung	9.0
Grundbesitz	11.0
Tablett	7.0
Raumfahrt	9.0
Lebensform	10.0
Kriegsjahr	10.0
Zins	4.0
Ersparnis	9.0
Sozialhilfe	11.0
Liebesgeschichte	16.0
Krimi	5.0
Besucherin	10.0
Vierbeiner	10.0
Baumarkt	8.0
Umkreis	7.0
Priesterseminar	15.0
Bildband	8.0
Wildbahn	8.0
Idealist	8.0
Sommermonat	11.0
Schwabe	7.0
Abschlußprüfung	15.0
Raffinesse	10.0
Adventszeit	11.0
Anfangszeit	11.0
Anstalt	7.0
Cafeteria	9.0
Regenwasser	11.0
Vorjahr	7.0
Golf	4.0
Butler	6.0
Endphase	8.0
Übersetzung	11.0
Cowboy	6.0
Möwe	4.0
Folgezeit	9.0
Stärkung	8.0
Fußgängerzone	13.0
Hektik	6.0
Pavillon	8.0
Jugendherberge	14.0
Milz	4.0
Passage	7.0
Schweinefleisch	15.0
Domizil	7.0
Wohnraum	8.0
Leitungswasser	14.0
Würze	5.0
Spielfeld	9.0
Strophe	7.0
Treffer	7.0
Taube	5.0
Abschneiden	11.0
Geburtshaus	11.0
Gehaltserhöhung	15.0
Isolation	9.0
Tierarzt	8.0
Hafenstadt	10.0
Bedrohung	9.0
Bauernhaus	10.0
Neuzeit	7.0
Klosterkirche	13.0
Lanze	5.0
Erkrankte	9.0
Wanne	5.0
Legende	7.0
Fremdsprache	12.0
Fortbestand	11.0
Taverne	7.0
Jüdin	5.0
Zement	6.0
Waschmaschine	13.0
Ostern	6.0
Annäherung	10.0
Arbeitsamt	10.0
Kreuzweg	8.0
Turnhalle	9.0
Autofahrt	9.0
Duell	5.0
Grundstudium	12.0
Schwiegervater	14.0
Dicke	5.0
Wirtshaus	9.0
Verkündung	10.0
Romantik	8.0
Verärgerung	11.0
Vergangene	10.0
Aufmachung	10.0
Joint	5.0
Steuerung	9.0
Selbstwertgefühl	16.0
Senatorin	9.0
Überlebenschance	16.0
Disput	6.0
Individualismus	15.0
Waldstück	9.0
Harz	4.0
Auswahlverfahren	16.0
Bürgerkrieg	11.0
Ferienwohnung	13.0
Fachbuch	8.0
Lagerhalle	10.0
Manuskript	10.0
Reihenhaus	10.0
Dialog	6.0
Reptil	6.0
Teilnahme	9.0
Wohnmobil	9.0
Panikattacke	12.0
Lagerraum	9.0
Brühe	5.0
Waschen	7.0
Kolonne	7.0
Allee	5.0
Kicker	6.0
Balance	7.0
Säugling	8.0
Damm	4.0
Serviette	9.0
Pult	4.0
Eberswald	9.0
Frist	5.0
Kran	4.0
Nachforschung	13.0
Getreide	8.0
Behörde	7.0
Letter	6.0
Titelblatt	10.0
Formation	9.0
Präsentation	12.0
Tribüne	7.0
Extrem	6.0
Englischkenntnis	16.0
Hintertür	9.0
Klotz	5.0
Grafik	6.0
Abhandlung	10.0
Botanik	7.0
Naturfreund	11.0
Klassenraum	11.0
Kinderbuch	10.0
Dinner	6.0
Kooperation	11.0
Gesundheitsministerium	22.0
Arbeitsschwerpunkt	18.0
Slogan	6.0
J	2.0
Redakteur	9.0
Gedenktag	9.0
These	5.0
Weltliteratur	13.0
Erreichen	9.0
Spanisch	8.0
Entsprechung	12.0
Perser	6.0
Nachschub	9.0
Ratgeber	8.0
Reglement	9.0
Nürnberger	10.0
Konvoi	6.0
Grübeln	7.0
Sauerstoff	10.0
Begleitung	10.0
Keule	5.0
Schimmel	8.0
Vorfreude	9.0
Unterrichtsstunde	17.0
Überwindung	11.0
Kalorie	7.0
Entscheidungsfindung	20.0
Auszeit	7.0
Inspektor	9.0
Erhalt	6.0
Insulin	7.0
Methode	7.0
Transaktion	11.0
Intrige	7.0
Psyche	6.0
Radweg	6.0
Vorzeit	7.0
Kolonialzeit	12.0
Kategorie	9.0
Format	6.0
Generaldirektor	15.0
Trio	4.0
Flugplatz	9.0
Beschaffung	11.0
Schattierung	12.0
Computerprogramm	16.0
Grau	4.0
Fußballspiel	12.0
Staatsangehörigkeit	19.0
Ballade	7.0
Produktion	10.0
Formalität	10.0
Kündigung	9.0
Anfassen	8.0
Erstaunen	9.0
Geschäftspartner	16.0
Statistik	9.0
Bundesbahn	10.0
Heimatort	9.0
Familienvater	13.0
Entsorgung	10.0
Login	5.0
Betreiber	9.0
Bestrafung	10.0
Bezugsperson	12.0
Kondom	6.0
Computersystem	14.0
Irritation	10.0
Rückflug	8.0
Behauptung	10.0
Geschäftsmann	13.0
Verstehen	9.0
Kunststück	10.0
Manko	5.0
Arbeitslosigkeit	16.0
Auslese	7.0
Unvermögen	10.0
Bräutigam	9.0
Nebensache	10.0
Fachwissen	10.0
Jemand	6.0
Erwachsenwerden	15.0
Dom	3.0
Gefangenschaft	14.0
Versicherungsgesellschaft	25.0
Eigentum	8.0
Trumpf	6.0
Absprache	9.0
Bordeaux	8.0
Kurort	6.0
Technologie	11.0
Jagen	5.0
Gemüt	5.0
Epoche	6.0
Geldbörse	9.0
Kopfhörer	9.0
Rechnen	7.0
Nation	6.0
Wettlauf	8.0
Lebensstil	10.0
Unterhaltungswert	17.0
Crash	5.0
Äther	5.0
AG	2.0
Geldbetrag	10.0
Naturschützer	13.0
Schwur	6.0
Surfen	6.0
Arbeitnehmer	12.0
Zuschuß	7.0
Käufer	6.0
Erbteil	7.0
Körperteil	10.0
Aufkleber	9.0
Analphabet	10.0
Osterfest	9.0
Dorfgemeinschaft	16.0
Verzögerung	11.0
Chemikalie	10.0
Übereinstimmung	15.0
Wodka	5.0
Kübel	5.0
Auslegung	9.0
Veranlagung	11.0
Stiefmutter	11.0
Co	2.0
Krankenhausaufenthalt	21.0
Gegenüberstellung	17.0
g	2.0
Sprachrohr	10.0
Arbeitswelt	11.0
Primat	6.0
Wellensittich	13.0
Todesurteil	11.0
Verlierer	9.0
Winterpause	11.0
Zusage	6.0
Zeitzeuge	9.0
Vulkan	6.0
Einfühlungsvermögen	19.0
Beobachter	10.0
Banner	6.0
Dekan	5.0
Ausscheiden	11.0
Stift	5.0
Tortur	6.0
Knast	5.0
Feldzug	7.0
Durchschnittsalter	18.0
Geheimdienst	12.0
Vormund	7.0
Kröte	5.0
Vorstufe	8.0
Ausschluß	9.0
Personalausweis	15.0
Bearbeitungszeit	16.0
Ältere	6.0
Stadttor	8.0
Speise	6.0
Trank	5.0
Waisenhaus	10.0
Oberarm	7.0
Musikhochschule	15.0
Bäuerin	7.0
Scheiterhaufen	14.0
Hotelanlage	11.0
Verein	6.0
Wahlausschuß	12.0
Werkstück	9.0
Dessert	7.0
Ferkel	6.0
Ausscheidung	12.0
Forderung	9.0
Sauerstoffmangel	16.0
Mikroskop	9.0
Kapstadt	8.0
Haller	6.0
Bauzeit	7.0
Überlegenheit	13.0
Schlußfolgerung	15.0
Nullpunkt	9.0
Eingangsbereich	15.0
Gärtner	7.0
Aufeinandertreffen	18.0
Ruß	3.0
Pose	4.0
Fröhlichkeit	12.0
Freier	6.0
Campus	6.0
Schrott	7.0
Taschengeld	11.0
Beschimpfung	12.0
Reservoir	9.0
Lektor	6.0
Mobiliar	8.0
Köchin	6.0
Erwiderung	10.0
Fiktion	7.0
Hinterbliebener	15.0
Außenseite	10.0
Bauarbeit	9.0
Abriß	5.0
Wintergarten	12.0
Reue	4.0
Recycling	9.0
Verklärung	10.0
Sprecher	8.0
Verzeihung	10.0
Hilfsmittel	11.0
Server	6.0
Stipendium	10.0
Werwolf	7.0
Stange	6.0
Börsenkurs	10.0
Admiral	7.0
Streitmacht	11.0
Kirsche	7.0
Trocknen	8.0
Inferno	7.0
Anklang	7.0
Bestimmtheit	12.0
Möhre	5.0
Demonstrant	11.0
Schah	5.0
Anschein	8.0
Stau	4.0
Kirchenvorstand	15.0
Eintrittspreis	14.0
Gläschen	8.0
Weißwein	8.0
Kommissarin	11.0
Überlebende	11.0
Verbrennung	11.0
Empfehlung	10.0
Ski	3.0
Crew	4.0
Pate	4.0
Braten	6.0
Schießen	8.0
Reflex	6.0
Haschisch	9.0
Trainingsprogramm	17.0
Zwangsarbeit	12.0
Wiederaufbau	12.0
Festival	8.0
Wissenschaftlerin	17.0
Fehlentscheidung	16.0
Metastase	9.0
Lymphknoten	11.0
Hochwasser	10.0
Dünger	6.0
Kritik	6.0
Bonbon	6.0
Kommandant	10.0
Aluminium	9.0
Schwere	7.0
Freiraum	8.0
Vorschau	8.0
Festsaal	8.0
Verkehrsunfall	14.0
Typus	5.0
Silvester	9.0
Abzweigung	10.0
Nonne	5.0
Gleichaltrige	13.0
Flair	5.0
Vergänglichkeit	15.0
Felswand	8.0
Gehöft	6.0
Fahren	6.0
Tragweite	9.0
Bewerbungsunterlage	19.0
Stellplatz	10.0
Pott	4.0
Horrorfilm	10.0
Besprechung	11.0
Behinderte	10.0
Ebbe	4.0
Wildtier	8.0
Nationalpark	12.0
Jahrhundertwende	16.0
Lebendigkeit	12.0
Fruchtbarkeit	13.0
Kopie	5.0
Abfluß	6.0
Sorgfalt	8.0
Elektrode	9.0
Plasma	6.0
Volksmund	9.0
Abrechnung	10.0
Historiker	10.0
Gebrech	7.0
Einweihung	10.0
Tau	3.0
Arbeitsstunde	13.0
Verlegung	9.0
Erläuterung	11.0
Praktikant	10.0
Patent	6.0
Gebrüder	8.0
Bandbreite	10.0
Lebensgefährtin	15.0
Popmusik	8.0
Kirchenmusik	12.0
Monographie	11.0
Mittwochabend	13.0
Ananas	6.0
Zitat	5.0
Bestand	7.0
Schützling	10.0
Tournee	7.0
Feuerwehrleute	14.0
Bruderschaft	12.0
Sinnlosigkeit	13.0
Anekdote	8.0
Entwarnung	10.0
Facharzt	8.0
Kinderkrankheit	15.0
Bubi	4.0
Import	6.0
Export	6.0
Vertretung	10.0
Kunststoff	10.0
Staubsauger	11.0
Pfahl	5.0
Sicherheitsdienst	17.0
Psychose	8.0
Margarine	9.0
Vitamin	7.0
Fressen	7.0
Truck	5.0
Förster	7.0
Vertrautheit	12.0
Flora	5.0
Batterie	8.0
Fett	4.0
Stausee	7.0
Gotteshaus	10.0
Luftraum	8.0
Tresor	6.0
Fürstentum	10.0
Effekt	6.0
Delta	5.0
Pub	3.0
Panzer	6.0
Verderben	9.0
Übertreibung	12.0
Motorradfahrer	14.0
Landstrich	10.0
Vielfalt	8.0
Viereck	7.0
Regeneration	12.0
Scheiß	6.0
Kostbarkeit	11.0
Außenminister	13.0
Haube	5.0
Folie	5.0
Alm	3.0
Vorstoß	7.0
Katalog	7.0
Übersetzerin	12.0
Botschafter	11.0
Sexualität	10.0
m	2.0
Feuchtigkeit	12.0
Gorilla	7.0
Gewebe	6.0
Keramik	7.0
Urheber	7.0
Mannen	6.0
Flugzeugabsturz	15.0
Meditation	10.0
Lebenseinstellung	17.0
Tempelberg	10.0
P	2.0
Aufschluß	9.0
Restaurierung	13.0
Pflegestufe	11.0
Referendar	10.0
Übermacht	9.0
Gegenwehr	9.0
Arzthelferin	12.0
Personalchef	12.0
Therapeutin	11.0
Psychotherapie	14.0
Achterbahn	10.0
Regie	5.0
Entführer	9.0
Schutzgebiet	12.0
Karren	6.0
Keim	4.0
Geographie	10.0
Magisterarbeit	14.0
Brustkrebs	10.0
Auswirkung	10.0
Kriegsende	10.0
Nachkriegszeit	14.0
Klassenlehrer	13.0
Vorsitzende	11.0
Vorkenntnis	11.0
Fehlverhalten	13.0
Komponist	9.0
Stocken	7.0
Basis	5.0
Beweggrund	10.0
Ernsthaftigkeit	15.0
Selbstachtung	13.0
Erkennen	8.0
Geburtsdaten	12.0
Denker	6.0
Grat	4.0
Verschwendung	13.0
Kost	4.0
Assoziation	11.0
Morgenstern	11.0
Instruktion	11.0
Todesfall	9.0
Flagge	6.0
Menschlichkeit	14.0
Qualifikation	13.0
Meisterschaft	13.0
Altersklasse	12.0
Publikation	11.0
Intimität	9.0
Rosenkranz	10.0
Gestik	6.0
Gelübde	7.0
Gewaltanwendung	15.0
Geometrie	9.0
Unterseite	10.0
Beherrschung	12.0
Hautfarbe	9.0
Nachtruhe	9.0
Strafverfahren	14.0
Ehrfurcht	9.0
Westberliner	12.0
Anthropologie	13.0
Mißbildung	10.0
Mißhandlung	11.0
Tagesordnung	12.0
Mister	6.0
Argwohn	7.0
Bestürzung	10.0
Mine	4.0
Einberufung	11.0
Bravour	7.0
Überzeugungskraft	17.0
Ventil	6.0
Hinsehen	8.0
Architektur	11.0
Düse	4.0
Wal	3.0
Rum	3.0
Spaten	6.0
Verkaufen	9.0
Aufgabengebiet	14.0
Speichel	8.0
Schnappschuß	12.0
Thüringer	9.0
Durchführung	12.0
Geige	5.0
Applaus	7.0
Konzertsaal	11.0
Seilbahn	8.0
Stadtbahn	9.0
IP	2.0
Gestus	6.0
Entlassung	10.0
Angreifer	9.0
Flußlauf	8.0
Obere	5.0
Zusammenleben	13.0
Groll	5.0
Arbeitsvertrag	14.0
Besorgnis	9.0
Zynismus	8.0
Radiosender	11.0
Kosmetik	8.0
Atelier	7.0
Eiweiß	6.0
Erdbeere	8.0
Genauigkeit	11.0
Ruhestand	9.0
Menschenverstand	16.0
Konsole	7.0
Familienplanung	15.0
Eifer	5.0
Beschwörung	11.0
Mithilfe	8.0
Fütterung	9.0
Höhenmeter	10.0
Erwärmung	9.0
Verschmelzung	13.0
Gepflogenheit	13.0
Reklame	7.0
Aspirin	7.0
Dolmetscher	11.0
Tanzen	6.0
Schneefall	10.0
Kanzel	6.0
Popularität	11.0
Weltgeschichte	14.0
Konzept	7.0
Unrat	5.0
Eskalation	10.0
Rektor	6.0
Alphabet	8.0
Z	2.0
Wirtschaftslage	15.0
Formulierung	12.0
Zurückhaltung	13.0
Rechtsanwalt	12.0
Renner	6.0
Moderne	7.0
Genosse	7.0
Orgasmus	8.0
Slum	4.0
Zenit	5.0
Zeichentrickfilm	16.0
Terminkalender	14.0
Mikroelektronik	15.0
Monopol	7.0
Projektarbeit	13.0
Einteilung	10.0
Tagesausflug	12.0
Lack	4.0
Scheitern	9.0
Erzengel	8.0
Stadtwerk	9.0
Lord	4.0
Strenge	7.0
Verhaltenskodex	15.0
Mythos	6.0
Distrikt	8.0
Elfenbeinküste	14.0
Reserve	7.0
Webseite	8.0
Magistrat	9.0
Arztbesuch	10.0
Schulgebäude	12.0
Fixierung	9.0
Stuhlgang	9.0
Ausweichen	10.0
Morddrohung	11.0
Symphonie	9.0
Flußbett	8.0
Sorgerecht	10.0
Hauptrolle	10.0
Kolonist	8.0
Homosexualität	14.0
Schubladen	10.0
Bleistift	9.0
Anbau	5.0
Grundlage	9.0
Steckdose	9.0
Rundreise	9.0
Tracht	6.0
Hausbank	8.0
Kelch	5.0
Winterschlaf	12.0
Rollstuhlfahrer	15.0
Instanz	7.0
Echtheit	8.0
Müsli	5.0
Kernpunkt	9.0
Staatsexamen	12.0
Staffel	7.0
Einsatzkraft	12.0
Wohlergehen	11.0
Firmenchef	10.0
Zielscheibe	11.0
Orakel	6.0
Ulmer	5.0
Werber	6.0
Knabe	5.0
Erschaffung	11.0
Sterilisation	13.0
Visite	6.0
Geistliche	10.0
Aufstand	8.0
Monolog	7.0
Ultraschall	11.0
Entzündung	10.0
Endrunde	8.0
Örtlichkeit	11.0
