word	old20 score (based on the top 35502 lemmas in sdewac)
Biß	3.0
Anblick	7.0
Enkelin	7.0
Penner	6.0
Freundschaft	12.0
Bearbeiter	10.0
Gespräch	8.0
Überfall	8.0
Tankstelle	10.0
Vorlesen	8.0
Ufer	4.0
Erlebnis	8.0
König	5.0
Stunde	6.0
Krankheit	9.0
Entscheidungsfreiheit	21.0
Verhaltensweise	15.0
Kleingeld	9.0
Winter	6.0
Hindernis	9.0
Pullover	8.0
Komplexe	8.0
Re	2.0
Bahn	4.0
Feuer	5.0
Freund	6.0
Realität	8.0
Blitz	5.0
Psychiater	10.0
Los	3.0
Gelächter	9.0
Gatte	5.0
Punkt	5.0
Feierlichkeit	13.0
Tal	3.0
Trauer	6.0
Mieter	6.0
Krankenhaus	11.0
Wendung	7.0
Bedenken	8.0
Qual	4.0
Zimmer	6.0
Tropfen	7.0
Angst	5.0
Reh	3.0
Flucht	6.0
Griff	5.0
Handgelenk	10.0
Gebüsch	7.0
Erkenntnis	10.0
Elf	3.0
Krieg	5.0
Abteil	6.0
Unglück	7.0
Grinsen	7.0
Schlüssel	9.0
Zustand	7.0
Konzentration	13.0
Intensivstation	15.0
Böse	4.0
Beruf	5.0
Gepäck	6.0
Brust	5.0
Vergangenheit	13.0
Nähe	4.0
Wissen	6.0
Erwachen	8.0
Gegenteil	9.0
Fall	4.0
Glück	5.0
Preis	5.0
Gebäude	7.0
Auskunft	8.0
Band	4.0
Krönung	7.0
Schriftzeichen	14.0
Herr	4.0
Mädchen	7.0
Gefallen	8.0
Schlimmste	10.0
Ritual	6.0
Zusammentreffen	15.0
Kraft	5.0
Angebot	7.0
Architekturbüro	15.0
Heimat	6.0
Sand	4.0
Vergleich	9.0
Reise	5.0
Tatsache	8.0
Mama	4.0
Körper	6.0
Jacke	5.0
Höhe	4.0
Tiefe	5.0
Freude	6.0
Problem	7.0
Schwerkraft	11.0
Karte	5.0
Pfütze	6.0
Hilfe	5.0
Mut	3.0
Chance	6.0
Bessere	7.0
Film	4.0
Ausdruck	8.0
Alptraum	8.0
Wirklichkeit	12.0
Anhänger	8.0
Konto	5.0
Monat	5.0
Haß	3.0
Dirigent	8.0
Inhalt	6.0
Flur	4.0
Teppich	7.0
Hauptgrund	10.0
Herrscher	9.0
Vorschlag	9.0
Sprache	7.0
Höhepunkt	9.0
Persönlichkeit	14.0
Kleine	6.0
Miene	5.0
Lohn	4.0
Dankbarkeit	11.0
Geruch	6.0
Minute	6.0
Gute	4.0
Nagel	5.0
Name	4.0
Melodie	7.0
Plan	4.0
Rahmen	6.0
Schmerz	7.0
Schnee	6.0
Tiger	5.0
Tante	5.0
Gefolgsleute	12.0
Ton	3.0
Sender	6.0
Traum	5.0
Rose	4.0
Begriff	7.0
Abschied	8.0
Tumult	6.0
Typ	3.0
Stuhl	5.0
Unfall	6.0
Versuch	7.0
Wärter	6.0
Nebel	5.0
Wunsch	6.0
Ausführung	10.0
Zauberer	8.0
Leute	5.0
Dame	4.0
Energie	7.0
Auftrag	7.0
Eltern	6.0
Enkel	5.0
Oma	3.0
Erleichterung	13.0
Entsetzen	9.0
Bruder	6.0
Finger	6.0
Erwartung	9.0
Frosch	6.0
Maulwurf	8.0
Gier	4.0
Macht	5.0
Glut	4.0
Hemmschwelle	12.0
Wesen	5.0
Hexe	4.0
Seele	5.0
Gott	4.0
Rast	4.0
Leiche	6.0
Geheimnis	9.0
Liebe	5.0
Schüler	7.0
Held	4.0
Entschlossenheit	16.0
Nachbarin	9.0
Insel	5.0
Wegweiser	9.0
Straßenrand	11.0
Natur	5.0
Besondere	9.0
Königreich	10.0
Widerspruch	11.0
Sichtweite	10.0
Unabhängigkeit	14.0
Welle	5.0
Geist	5.0
Münze	5.0
Ziege	5.0
Schwiegertochter	16.0
Enkelkind	9.0
Unwesen	7.0
Sehnsucht	9.0
Experte	7.0
Model	5.0
Bericht	7.0
Bus	3.0
Haltestelle	11.0
Einwand	7.0
Woche	5.0
Schreibtisch	12.0
Mühe	4.0
Stimme	6.0
Dorf	4.0
Lächeln	7.0
Emotion	7.0
Schublade	9.0
Gehirn	6.0
Schnelle	8.0
Revier	6.0
Ähnliche	8.0
Duft	4.0
Klang	5.0
Verlegenheit	12.0
Dunkelheit	10.0
Soldat	6.0
Gewehr	6.0
Stille	6.0
Vierteljahrhundert	18.0
Erfahrung	9.0
Autorität	9.0
Wirkung	7.0
Störung	7.0
Futter	6.0
Ausblick	8.0
Kälte	5.0
Wildschwein	11.0
Zauberei	8.0
Lauf	4.0
Aufsehen	8.0
Gemüse	6.0
Neue	4.0
Rang	4.0
Geschichte	10.0
Kindheit	8.0
Heilige	7.0
Märtyrer	8.0
Keks	4.0
Transportmittel	15.0
Misere	6.0
Spiegel	7.0
Kutsche	7.0
Spaziergang	11.0
Innenstadt	10.0
Schwangerschaft	15.0
Langeweile	10.0
Fußball	7.0
Bürgermeister	13.0
Wand	4.0
Risiko	6.0
Strom	5.0
Zuschauer	9.0
Wunder	6.0
Engel	5.0
Dasein	6.0
Epilepsie	9.0
%	2.0
Bevölkerung	11.0
Erkrankung	10.0
Blut	4.0
Zuhause	7.0
Rollstuhl	9.0
Recht	5.0
Teufel	6.0
Bett	4.0
Kontinent	9.0
Ungewöhnliche	13.0
Pflicht	7.0
Stern	5.0
Anerkennung	11.0
Training	8.0
Disziplin	9.0
Stelle	6.0
Leidenschaft	12.0
Kontakt	7.0
Bier	4.0
