Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
1.0	0.0	222774.39	4.63	1.5	5.56	0.73	2.81	4.0	0.0	0.0	11.13	1.0	165767.83	5.69	0.6	4.44	1.41	Säge	2.0	
0.0	1.0	207951.66	1.0	0.0	1.39	0.85	0.74	5.0	1.0	1.0	4.28	0.0	153603.08	5.0	1.33	3.39	1.97	Milbe	2.0	
0.0	0.0	62849.6	4.26	1.76	1.26	0.69	1.84	7.0	0.0	1.0	1.71	1.0	17267.46	4.86	1.35	4.33	1.59	Tornado	3.0	
0.0	1.0	21961.51	5.07	na	1.53	na	1.0	3.0	1.0	1.0	13.27	1.0	18342.5	5.79	0.51	4.87	na	Uhu	2.0	
0.0	0.0	372137.3	1.78	0.87	1.71	0.81	3.08	5.0	1.0	1.0	12.41	0.0	234035.87	5.36	0.92	4.39	1.47	Eiche	2.0	
1.0	0.0	63797.19	5.44	na	4.5	na	1.01	5.0	0.0	0.0	14.55	1.0	16323.78	4.95	1.53	4.19	na	Cello	2.0	
1.0	0.0	170026.46	1.38	0.81	4.75	1.34	4.08	7.0	0.0	0.0	2.57	0.0	100505.88	5.69	0.6	3.63	1.89	Tablett	2.0	
1.0	0.0	120598.99	4.38	na	5.38	na	0.73	5.0	0.0	0.0	11.13	1.0	27252.05	6.0	0.0	4.25	na	Handy	2.0	
1.0	0.0	209664.62	5.25	na	4.44	na	0.02	10.0	0.0	0.0	0.0	1.0	93015.71	5.05	1.2	4.0	na	Kontrabass	3.0	
1.0	0.0	297327.17	5.63	1.02	5.56	0.89	16.09	7.0	0.0	0.0	3.42	1.0	221799.33	6.0	0.0	3.75	1.34	Telefon	3.0	
1.0	0.0	288680.65	1.0	0.0	5.22	1.06	6.34	8.0	0.0	0.0	1.28	0.0	180859.26	5.83	0.51	4.78	1.73	Krawatte	3.0	
0.0	1.0	228226.58	4.39	1.09	1.33	0.59	2.13	5.0	1.0	1.0	3.42	1.0	169722.04	5.5	0.79	4.5	1.38	Kröte	2.0	
1.0	0.0	376563.23	1.0	0.0	4.94	1.0	0.62	6.0	0.0	0.0	8.99	0.0	225925.55	5.72	0.75	2.89	1.78	Kleber	2.0	
0.0	1.0	199614.58	5.0	na	1.33	na	3.16	5.0	1.0	1.0	4.71	1.0	156825.22	5.79	0.66	4.6	na	Krähe	2.0	
0.0	0.0	218472.1	1.06	0.24	1.39	0.7	1.82	4.0	1.0	1.0	10.7	0.0	161107.16	5.28	1.13	3.72	1.93	Alge	2.0	
0.0	1.0	237203.24	1.88	1.02	1.19	0.54	0.69	7.0	1.0	1.0	2.57	0.0	169477.82	4.94	1.39	3.63	1.82	Gazelle	3.0	
0.0	0.0	152813.71	4.72	1.13	2.83	1.65	0.94	7.0	0.0	0.0	0.86	1.0	81760.8	5.44	0.78	2.33	1.46	Lüftung	2.0	
0.0	1.0	159145.78	4.47	na	2.13	na	15.72	4.0	1.0	1.0	9.42	1.0	140440.22	6.0	0.0	5.4	na	Löwe	2.0	
1.0	0.0	182450.87	5.67	0.84	5.17	1.29	1.77	5.0	0.0	0.0	6.85	1.0	148418.58	5.61	0.78	4.11	1.68	Harfe	2.0	
1.0	0.0	260060.75	1.39	0.72	5.13	0.97	7.71	5.0	0.0	0.0	8.99	0.0	164661.33	5.9	0.3	3.29	1.59	Seife	2.0	
1.0	0.0	259945.89	5.13	1.59	5.19	1.11	1.23	8.0	0.0	0.0	1.28	1.0	227306.33	5.63	1.26	3.75	1.69	Mikrofon	3.0	
1.0	0.0	79939.58	1.5	0.86	4.72	1.49	0.43	6.0	0.0	0.0	3.85	0.0	38714.84	5.83	0.51	3.72	1.64	Waffel	2.0	
1.0	0.0	47777.08	1.36	na	4.47	na	3.16	9.0	0.0	0.0	2.14	0.0	19570.09	5.75	0.74	4.8	na	Mikroskop	3.0	
0.0	1.0	101323.01	4.5	1.46	1.25	0.58	1.52	5.0	1.0	1.0	4.71	1.0	41957.69	5.5	0.89	4.25	1.48	Amsel	2.0	
