Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
0.0	0.0	542744.44	1.0	0.0	1.96	1.36	0.38	9.0	1.0	1.0	2.57	0.0	194490.0	4.67	1.2	4.29	1.68	Margerite	4.0	
0.0	1.0	165130.87	4.13	na	1.2	na	3.08	4.0	1.0	1.0	5.14	1.0	146402.94	5.83	0.56	4.67	na	Möwe	2.0	
1.0	0.0	108727.29	1.33	na	4.0	na	0.2	5.0	0.0	1.0	14.98	0.0	32688.65	5.96	0.2	4.4	na	Mango	2.0	
0.0	0.0	280006.21	1.0	na	2.0	na	0.78	8.0	0.0	0.0	0.86	0.0	174522.98	5.63	0.88	3.67	na	Plakette	3.0	
0.0	0.0	426151.73	1.05	na	2.4	na	6.1	7.0	0.0	0.0	4.28	0.0	211577.22	5.54	0.83	3.75	na	Pfeiler	2.0	
1.0	0.0	122215.51	1.19	0.54	4.25	1.48	23.81	9.0	0.0	1.0	1.71	0.0	42915.28	6.0	0.0	4.13	1.59	Kartoffel	3.0	
0.0	0.0	574902.86	5.53	na	2.07	na	5.38	12.0	0.0	0.0	1.71	1.0	255788.66	5.88	0.45	2.86	na	Lautsprecher	3.0	
0.0	1.0	343016.31	1.87	na	1.53	na	1.55	5.0	1.0	1.0	13.7	0.0	224557.62	5.05	1.32	4.6	na	Biber	2.0	
0.0	0.0	169312.72	1.26	0.54	2.43	1.38	4.98	4.0	0.0	0.0	30.82	0.0	118871.48	5.19	1.08	4.1	1.55	Mast	1.0	
1.0	0.0	139786.43	1.38	0.62	4.25	1.34	7.49	4.0	0.0	0.0	29.11	0.0	49556.0	5.69	1.01	3.81	1.72	Seil	1.0	
1.0	0.0	123118.48	1.26	0.62	4.26	1.42	3.64	5.0	0.0	0.0	3.42	0.0	99857.17	5.48	0.87	4.62	1.36	Atlas	2.0	
1.0	1.0	241229.19	3.93	na	3.93	na	76.31	5.0	1.0	1.0	6.42	1.0	59237.11	6.0	0.0	4.93	na	Pferd	1.0	
1.0	0.0	164429.93	1.78	1.0	4.91	1.04	6.79	6.0	0.0	0.0	4.71	0.0	44993.08	5.86	0.36	4.43	1.4	Gürtel	2.0	
1.0	0.0	198597.89	1.13	na	3.87	na	10.5	7.0	0.0	1.0	2.57	0.0	39841.26	6.0	0.0	4.53	na	Zwiebel	2.0	
0.0	0.0	204082.58	1.0	na	1.67	na	1.1	8.0	0.0	0.0	2.57	0.0	119815.63	5.79	0.59	5.2	na	Portrait	2.0	
0.0	0.0	444581.63	1.19	0.4	1.94	0.77	3.38	6.0	1.0	1.0	11.99	0.0	251413.8	4.81	1.38	3.69	1.49	Auster	2.0	
0.0	1.0	373486.23	1.0	na	1.53	na	9.29	8.0	1.0	1.0	4.71	0.0	181049.81	5.92	0.28	4.93	na	Schnecke	2.0	
0.0	1.0	303140.95	1.73	na	1.8	na	5.84	5.0	1.0	1.0	5.14	0.0	207715.55	6.0	0.0	4.33	na	Käfer	2.0	
0.0	1.0	367995.83	1.88	1.02	1.56	0.51	1.1	6.0	1.0	1.0	9.42	0.0	187702.79	4.69	1.58	3.44	1.46	Schabe	2.0	
0.0	0.0	170180.68	1.0	na	1.33	na	4.71	8.0	0.0	0.0	1.71	0.0	145275.94	5.75	0.74	4.87	na	Skulptur	2.0	
1.0	0.0	293302.58	1.2	na	4.2	na	3.26	6.0	0.0	1.0	4.71	0.0	165739.01	5.96	0.2	4.73	na	Banane	3.0	
1.0	0.0	407858.34	1.0	na	4.13	na	1.29	8.0	0.0	1.0	2.14	0.0	161743.24	5.96	0.2	4.93	na	Himbeere	3.0	
0.0	0.0	436207.16	5.88	na	1.63	na	3.63	6.0	0.0	0.0	5.14	1.0	191500.44	5.48	0.81	1.63	na	Sirene	3.0	
1.0	0.0	184854.71	1.13	0.34	4.25	1.61	16.23	5.0	0.0	0.0	14.98	0.0	152558.98	5.19	1.52	5.13	1.09	Maske	2.0	
0.0	0.0	178401.1	1.07	na	1.67	na	16.48	9.0	0.0	0.0	0.86	0.0	96428.91	5.75	0.61	4.53	na	Abbildung	3.0	
1.0	0.0	344400.82	2.0	na	5.13	na	0.29	8.0	0.0	0.0	0.43	0.0	80070.8	4.57	1.63	4.6	na	Bumerang	3.0	
0.0	0.0	203901.32	1.07	na	1.6	na	32.19	4.0	0.0	0.0	24.83	0.0	112343.48	6.0	0.0	4.2	na	Dach	1.0	
1.0	0.0	330143.66	1.26	0.54	4.74	1.25	3.88	8.0	0.0	0.0	2.14	0.0	213297.6	5.86	0.36	4.48	1.5	Pullover	3.0	
0.0	1.0	440509.28	1.6	0.83	1.27	0.46	1.32	7.0	1.0	1.0	1.71	0.0	180259.46	4.31	1.54	3.29	1.59	Termite	3.0	
1.0	0.0	64853.24	5.47	na	4.47	na	0.93	7.0	0.0	0.0	3.0	1.0	11010.25	4.0	2.02	3.33	na	Cembalo	3.0	
0.0	0.0	136838.87	1.0	na	1.87	na	13.73	6.0	0.0	0.0	3.42	0.0	101441.81	5.88	0.45	4.8	na	Plakat	2.0	
0.0	1.0	185548.39	4.06	1.21	1.11	0.32	0.56	4.0	1.0	1.0	7.71	1.0	94825.14	5.56	0.7	5.22	0.65	Elch	1.0	
0.0	1.0	371645.07	1.74	0.75	1.13	0.34	0.4	5.0	1.0	1.0	7.71	0.0	219330.57	5.24	1.09	3.86	1.74	Otter	2.0	
1.0	0.0	174957.33	1.07	na	4.0	na	1.19	6.0	0.0	1.0	4.71	0.0	103196.34	5.92	0.28	5.0	na	Ananas	3.0	
0.0	0.0	713450.44	1.13	na	2.0	na	3.74	9.0	0.0	0.0	3.0	0.0	447736.53	5.75	0.61	4.2	na	Abzeichen	3.0	
0.0	0.0	227314.51	4.22	1.51	1.57	0.95	1.74	6.0	0.0	1.0	3.85	1.0	41118.98	5.1	1.18	3.1	1.41	Geröll	2.0	
0.0	0.0	280868.54	1.0	na	1.93	na	16.82	7.0	0.0	0.0	3.85	0.0	165400.0	5.83	0.56	5.73	na	Gemälde	3.0	
0.0	1.0	220832.6	2.0	1.03	1.19	0.54	1.12	8.0	1.0	1.0	1.28	0.0	157916.29	4.88	1.59	3.69	1.7	Antilope	4.0	
1.0	0.0	301726.67	1.56	0.81	3.88	1.31	4.03	6.0	0.0	1.0	6.42	0.0	163528.27	5.81	0.54	4.81	1.64	Orange	3.0	
1.0	0.0	270843.47	1.56	0.78	4.56	1.34	3.28	7.0	0.0	0.0	2.14	0.0	163695.98	5.78	0.55	4.0	1.64	Kommode	3.0	
0.0	1.0	276129.73	3.69	1.49	1.56	0.81	0.78	8.0	1.0	1.0	0.43	1.0	165135.08	5.44	1.09	4.69	1.4	Hornisse	3.0	
0.0	0.0	259837.63	3.95	1.4	1.16	0.37	3.27	6.0	0.0	1.0	4.28	1.0	216121.04	5.1	1.37	5.68	0.58	Vulkan	2.0	
0.0	1.0	123753.81	1.06	0.25	1.63	0.81	3.01	4.0	1.0	1.0	30.82	0.0	90088.05	4.81	1.76	3.13	1.54	Laus	1.0	
0.0	0.0	172226.57	1.0	na	2.53	na	0.5	7.0	0.0	0.0	1.71	0.0	79671.15	5.83	0.48	3.67	na	Aushang	2.0	
1.0	0.0	332664.27	5.29	1.06	4.79	1.4	0.02	8.0	0.0	0.0	0.0	1.0	207372.85	4.76	1.41	3.5	1.54	Häcksler	2.0	
1.0	0.0	39048.22	1.07	na	3.87	na	0.26	4.0	0.0	1.0	7.28	0.0	22679.22	6.0	0.0	4.47	na	Kiwi	2.0	
1.0	0.0	160567.35	1.11	0.32	4.67	1.08	1.37	6.0	0.0	0.0	1.71	0.0	148940.82	5.83	0.38	4.72	1.41	Kapuze	3.0	
1.0	0.0	90283.54	5.65	0.7	4.88	1.41	0.43	5.0	0.0	0.0	10.7	1.0	25636.93	4.56	1.58	3.69	1.82	Bongo	2.0	
0.0	0.0	337924.6	4.5	1.58	3.22	1.44	4.96	8.0	0.0	0.0	3.85	1.0	173781.12	4.67	1.19	2.39	1.24	Getriebe	3.0	
1.0	0.0	81329.37	1.26	0.62	4.74	1.29	19.3	5.0	0.0	0.0	2.57	0.0	53091.14	5.81	0.4	5.0	1.05	Anzug	2.0	
1.0	0.0	148437.22	5.94	na	3.81	na	2.19	4.0	0.0	0.0	15.41	1.0	142955.23	5.62	0.67	1.81	na	Hupe	2.0	
1.0	0.0	146578.0	1.43	0.66	4.78	1.28	1.0	9.0	0.0	0.0	0.43	0.0	38903.03	5.95	0.22	5.05	1.12	Spaghetti	3.0	
0.0	1.0	300152.88	1.06	0.24	1.78	0.94	6.31	6.0	1.0	1.0	5.99	0.0	179095.09	5.67	0.69	4.94	1.3	Spinne	2.0	
1.0	0.0	255244.83	4.88	1.41	4.71	1.26	14.26	8.0	0.0	0.0	2.57	1.0	74023.38	4.78	1.48	3.65	1.5	Geschütz	2.0	
0.0	1.0	200765.75	1.89	1.08	1.22	0.55	0.95	7.0	1.0	1.0	2.14	0.0	152846.51	5.61	0.85	5.61	0.7	Giraffe	3.0	
0.0	1.0	173293.13	1.61	0.66	1.35	0.88	0.37	8.0	1.0	1.0	1.71	0.0	27315.87	5.33	1.2	5.52	0.68	Flamingo	3.0	
0.0	1.0	66213.18	1.0	na	1.8	na	9.48	4.0	1.0	1.0	10.7	0.0	45739.49	5.92	0.28	4.27	na	Wurm	1.0	
1.0	0.0	485226.1	1.56	0.78	5.33	0.91	11.4	6.0	0.0	0.0	17.55	0.0	259847.7	6.0	0.0	4.17	1.82	Becher	2.0	
1.0	0.0	233112.99	1.0	na	4.88	na	8.48	4.0	0.0	0.0	20.12	0.0	61184.13	5.96	0.2	3.56	na	Herd	1.0	
1.0	0.0	392083.7	1.61	0.84	4.78	1.28	21.16	10.0	0.0	0.0	5.99	0.0	216709.6	5.71	0.56	4.76	1.45	Hamburger 	3.0	
1.0	0.0	326205.33	1.75	1.13	4.0	1.46	7.15	5.0	0.0	0.0	11.56	0.0	214364.96	5.75	0.77	4.19	1.6	Eimer	2.0	
1.0	0.0	133375.48	1.43	0.79	5.0	1.17	1.64	5.0	0.0	0.0	7.71	0.0	75610.77	5.9	0.3	4.52	1.25	Jeans	1.0	
1.0	0.0	419936.01	4.04	1.02	4.96	1.02	0.66	7.0	0.0	0.0	5.57	1.0	216358.74	5.76	0.62	4.38	1.66	Blinker	2.0	
0.0	1.0	425556.95	1.38	0.62	1.88	0.89	2.57	7.0	1.0	1.0	3.85	0.0	345461.6	4.75	1.81	3.88	1.71	Karpfen	2.0	
0.0	1.0	134744.6	1.52	0.73	1.7	1.06	11.34	5.0	1.0	1.0	6.42	0.0	81666.28	5.62	0.97	4.57	1.72	Krebs	1.0	
1.0	0.0	411236.21	1.3	0.76	5.13	1.1	22.76	10.0	0.0	0.0	1.28	0.0	134172.6	5.81	0.51	4.48	1.5	Zeichnung 	2.0	
0.0	1.0	411345.48	3.94	1.39	1.89	1.13	5.8	5.0	1.0	1.0	9.85	1.0	235880.34	5.5	1.04	5.22	0.81	Stier	1.0	
0.0	0.0	576997.42	5.2	na	2.47	na	3.05	12.0	0.0	0.0	2.57	1.0	261612.89	5.88	0.45	4.73	na	Hubschrauber	3.0	
1.0	0.0	246277.69	1.0	0.0	4.44	1.25	6.14	7.0	0.0	0.0	2.57	0.0	107033.64	6.0	0.0	4.28	1.9	Ausweis	2.0	
1.0	0.0	201836.5	5.33	0.91	4.67	1.08	21.71	5.0	0.0	0.0	8.13	1.0	153029.5	5.33	1.33	3.17	1.58	Bombe	2.0	
1.0	0.0	166925.3	1.5	0.73	4.25	1.53	5.44	6.0	0.0	0.0	7.71	0.0	55385.15	5.94	0.25	3.44	1.36	Beutel	2.0	
1.0	0.0	324340.86	1.26	0.62	4.87	1.1	4.9	5.0	0.0	0.0	25.69	0.0	192576.94	5.52	0.81	4.1	1.45	Weste	2.0	
0.0	1.0	223150.23	1.61	0.78	1.57	1.04	2.04	6.0	1.0	1.0	3.85	0.0	150573.59	5.24	1.14	4.62	1.47	Krabbe	2.0	
1.0	0.0	209552.84	1.17	0.58	4.43	1.34	6.78	5.0	0.0	0.0	6.85	0.0	156817.51	5.86	0.36	4.14	1.62	Bluse	2.0	
0.0	1.0	253909.3	1.31	0.6	1.88	0.72	0.56	7.0	1.0	1.0	0.43	0.0	160078.72	4.13	1.63	3.13	1.86	Makrele	3.0	
0.0	0.0	125453.35	5.25	na	2.63	na	0.28	8.0	0.0	0.0	0.86	1.0	54893.33	5.46	0.98	3.06	na	Metronom	3.0	
1.0	0.0	127555.45	1.13	0.34	4.61	1.27	0.37	6.0	0.0	0.0	0.86	0.0	29661.79	5.81	0.51	4.95	1.36	Bikini	3.0	
1.0	0.0	185529.61	1.26	0.62	4.78	1.35	22.22	4.0	0.0	0.0	26.54	0.0	149527.39	5.95	0.22	4.43	1.5	Hose	2.0	
0.0	1.0	368896.1	3.72	1.49	1.28	0.57	7.85	5.0	1.0	1.0	11.99	1.0	214913.3	5.61	1.14	5.44	0.86	Tiger	2.0	
0.0	1.0	195045.62	4.13	1.77	1.07	0.27	0.47	5.0	1.0	1.0	8.99	1.0	159599.48	4.31	1.62	3.21	1.42	Dohle	2.0	
1.0	1.0	192011.5	4.72	0.89	4.78	1.77	493.52	4.0	1.0	1.0	24.83	1.0	93138.76	5.89	0.32	4.78	1.17	Kind	1.0	
1.0	1.0	451558.35	5.1	na	3.7	na	11.69	5.0	1.0	1.0	13.7	1.0	172133.74	5.96	0.2	4.3	na	Biene	2.0	
0.0	1.0	95840.41	3.81	1.33	2.75	1.44	8.83	4.0	1.0	1.0	13.7	1.0	37716.3	5.56	0.73	4.69	1.25	Esel	2.0	
0.0	1.0	168046.9	1.06	0.24	1.89	1.02	0.54	5.0	1.0	1.0	12.41	0.0	145459.88	5.39	0.98	4.22	1.8	Zecke	2.0	
0.0	1.0	113268.43	1.53	na	1.8	na	2.16	4.0	1.0	1.0	5.57	0.0	29382.28	5.96	0.2	5.33	na	Igel	2.0	
0.0	1.0	146178.09	1.61	0.72	1.39	0.66	0.23	6.0	1.0	1.0	11.56	0.0	31912.39	5.43	1.08	5.43	0.87	Panda 	2.0	
0.0	1.0	218631.76	1.74	0.92	1.3	0.56	12.57	5.0	1.0	1.0	8.99	0.0	88885.64	5.57	1.08	5.14	1.39	Fuchs	1.0	
0.0	1.0	215930.34	1.94	1.06	1.11	0.32	0.96	5.0	1.0	1.0	11.99	0.0	86205.26	5.22	1.22	5.11	1.32	Luchs	1.0	
1.0	0.0	396679.19	1.25	na	5.38	na	28.28	6.0	0.0	0.0	16.27	0.0	225248.53	6.0	0.0	4.0	na	Messer	2.0	
1.0	0.0	171677.05	1.44	0.7	5.28	0.83	10.55	5.0	0.0	0.0	14.98	0.0	142381.23	6.0	0.0	4.44	1.42	Jacke	2.0	
1.0	0.0	150622.02	4.0	1.53	5.28	1.02	1.07	6.0	0.0	0.0	5.14	1.0	37861.78	4.94	1.3	4.11	1.78	Meißel	2.0	
1.0	0.0	206497.24	1.44	0.92	5.17	0.86	34.11	6.0	0.0	0.0	11.56	0.0	54848.89	5.72	0.83	4.17	1.58	Mantel	2.0	
1.0	0.0	295345.23	1.17	0.38	5.17	0.86	2.53	8.0	0.0	0.0	2.14	0.0	174867.02	5.94	0.24	4.17	1.86	Tablette	3.0	
1.0	0.0	372425.32	1.44	0.86	5.11	0.96	38.08	6.0	0.0	0.0	11.99	0.0	218229.47	5.94	0.24	3.89	1.71	Tasche	2.0	
1.0	0.0	66264.3	1.75	1.06	4.94	1.34	50.37	5.0	0.0	0.0	7.71	0.0	49745.4	5.94	0.25	4.5	1.71	Stuhl	1.0	
1.0	0.0	488458.05	1.57	0.9	4.83	0.98	69.21	6.0	0.0	0.0	14.55	0.0	241557.14	5.71	0.56	4.62	1.6	Leiter	2.0	
1.0	0.0	313198.0	1.72	0.75	4.78	1.11	20.23	6.0	0.0	0.0	6.42	0.0	214604.64	5.94	0.24	4.33	1.68	Koffer	2.0	
1.0	0.0	233197.89	1.56	0.78	4.67	1.08	11.64	8.0	0.0	0.0	2.57	0.0	79985.05	5.89	0.32	3.94	1.63	Umschlag	2.0	
1.0	0.0	172907.03	1.26	0.54	4.65	1.23	47.85	5.0	0.0	0.0	8.99	0.0	62133.44	5.81	0.51	4.67	1.39	Kleid	1.0	
1.0	0.0	159120.82	1.78	0.74	4.65	1.27	2.92	6.0	0.0	0.0	6.85	0.0	108321.09	5.86	0.36	4.1	1.64	Toast 	1.0	
1.0	0.0	149794.25	1.75	0.86	4.63	1.15	10.43	5.0	0.0	0.0	10.27	0.0	144305.84	5.81	0.75	4.81	1.33	Puppe	2.0	
1.0	0.0	434381.92	4.22	1.48	4.48	1.27	0.17	8.0	0.0	0.0	1.71	1.0	260058.61	5.24	1.04	3.19	1.21	Rekorder	3.0	
1.0	0.0	256755.07	1.56	0.96	4.38	1.86	15.98	7.0	0.0	0.0	6.42	0.0	52214.53	6.0	0.0	4.06	1.53	Schrank	1.0	
1.0	0.0	75850.81	2.0	na	4.33	na	13.15	5.0	0.0	1.0	4.71	0.0	39992.64	5.96	0.2	4.33	na	Apfel	2.0	
1.0	0.0	73293.53	1.06	0.24	4.33	1.53	6.52	5.0	0.0	0.0	10.27	0.0	32012.73	5.83	0.51	4.17	1.54	Regal	2.0	
1.0	0.0	225971.33	1.26	0.54	4.22	1.57	31.31	5.0	0.0	0.0	12.41	0.0	161811.26	5.71	0.56	5.48	0.87	Krone	2.0	
1.0	0.0	303828.48	1.6	na	4.13	na	5.85	5.0	0.0	0.0	12.41	0.0	164258.77	5.67	0.64	4.4	na	Wiege	2.0	
1.0	0.0	259228.49	1.44	0.73	4.13	1.5	2.62	5.0	0.0	0.0	16.7	0.0	172835.84	5.94	0.25	4.75	1.18	Torte	2.0	
1.0	0.0	179263.71	1.06	na	4.06	na	3.0	6.0	0.0	0.0	5.14	0.0	110843.09	5.88	0.34	2.06	na	Magnet	2.0	
1.0	0.0	197902.82	1.33	na	3.93	na	7.77	4.0	0.0	1.0	29.54	0.0	88007.15	5.96	0.2	4.07	na	Reis	1.0	
1.0	0.0	56136.44	1.0	na	3.87	na	2.81	7.0	0.0	1.0	1.71	0.0	22355.38	6.0	0.0	4.27	na	Paprika	3.0	
1.0	0.0	245648.47	1.07	na	3.87	na	0.04	8.0	0.0	1.0	0.43	0.0	22682.97	5.88	0.34	4.53	na	Peperoni	4.0	
1.0	0.0	183221.4	1.44	0.7	3.83	1.42	4.41	5.0	0.0	1.0	7.28	0.0	150251.76	6.0	0.0	4.56	1.62	Gurke	2.0	
1.0	0.0	439952.95	1.56	0.86	3.83	1.5	1.02	9.0	0.0	1.0	2.14	0.0	202887.48	6.0	0.0	4.67	1.33	Mandarine	4.0	
1.0	0.0	176649.76	1.0	na	3.8	na	1.68	5.0	0.0	1.0	6.85	0.0	136265.14	5.92	0.28	4.73	na	Olive	3.0	
1.0	0.0	502601.17	1.0	na	3.73	na	0.26	9.0	0.0	1.0	1.71	0.0	208444.03	5.79	0.66	4.4	na	Aubergine	4.0	
0.0	0.0	297366.45	4.65	1.27	2.57	1.47	64.88	4.0	0.0	1.0	26.54	1.0	209877.42	5.76	0.62	4.67	0.97	Meer	1.0	
1.0	0.0	111791.07	5.31	0.95	5.44	1.09	4.97	8.0	0.0	0.0	2.57	1.0	58531.67	5.5	1.1	4.81	1.28	Motorrad	3.0	
1.0	1.0	327767.87	4.87	na	3.93	na	0.2	7.0	1.0	1.0	3.42	1.0	173943.3	3.63	2.06	3.87	na	Schnake	2.0	
0.0	1.0	280737.55	1.19	0.4	2.19	1.05	0.23	7.0	1.0	1.0	0.86	0.0	158184.14	5.06	1.39	4.31	1.45	Garnele	3.0	
0.0	1.0	328107.0	1.07	na	2.0	na	5.38	6.0	1.0	1.0	1.28	0.0	167247.83	5.96	0.2	4.07	na	Ameise	3.0	
0.0	1.0	220566.59	1.28	0.67	1.89	1.02	2.25	5.0	1.0	1.0	14.98	0.0	90942.3	5.56	0.86	4.44	1.38	Lachs	1.0	
0.0	1.0	88289.52	1.0	na	1.67	na	2.32	8.0	1.0	1.0	1.71	0.0	32935.15	5.92	0.28	4.47	na	Maulwurf	2.0	
0.0	1.0	39410.17	2.17	1.34	1.48	0.59	0.1	6.0	1.0	1.0	1.71	0.0	28926.57	4.71	1.45	4.43	1.47	Alpaka	3.0	
0.0	1.0	39001.54	2.09	1.08	1.43	0.59	1.1	4.0	1.0	1.0	25.26	0.0	18719.07	5.14	1.31	4.76	1.45	Lama	2.0	
0.0	1.0	249419.8	1.99	1.15	1.22	0.43	0.28	9.0	1.0	1.0	0.86	0.0	141105.04	4.92	1.55	4.51	1.52	Alligator	4.0	
0.0	1.0	63396.64	2.0	1.28	1.22	0.55	0.04	5.0	1.0	1.0	5.14	0.0	24143.49	5.56	0.78	5.06	1.26	Koala	3.0	
1.0	0.0	466596.21	4.88	na	5.63	na	1.61	11.0	0.0	0.0	2.14	1.0	237379.04	5.92	0.28	3.13	na	Staubsauger	3.0	
1.0	0.0	342314.32	2.09	1.08	5.48	0.67	0.34	7.0	0.0	0.0	7.71	0.0	218015.64	5.86	0.48	4.1	1.37	Füller 	2.0	
1.0	0.0	414404.56	5.5	1.03	5.44	0.89	0.83	8.0	0.0	0.0	5.14	1.0	234418.76	4.31	1.2	3.63	1.54	Bratsche	2.0	
1.0	0.0	171570.27	2.04	1.02	5.04	1.11	39.04	6.0	0.0	0.0	9.42	0.0	151604.11	6.0	0.0	3.86	1.65	Kaffee	2.0	
1.0	0.0	188943.76	5.11	1.08	5.0	1.17	0.32	5.0	0.0	0.0	4.28	1.0	153128.01	4.5	1.58	3.41	1.33	Fräse	2.0	
1.0	0.0	331161.24	5.56	1.03	5.0	1.21	0.33	8.0	0.0	0.0	2.57	1.0	234373.9	4.44	1.36	3.75	1.57	Tamburin	3.0	
1.0	0.0	211330.44	2.0	1.32	4.94	1.48	15.66	5.0	0.0	0.0	17.55	0.0	158633.4	5.75	0.77	4.5	1.83	Tasse	2.0	
1.0	0.0	243495.66	5.33	1.44	4.85	1.72	0.38	6.0	0.0	0.0	7.28	1.0	42705.31	4.19	2.04	3.31	1.8	Fiedel	2.0	
1.0	0.0	78056.85	1.91	0.9	4.7	1.18	0.54	4.0	0.0	0.0	14.55	0.0	29138.88	5.33	0.97	4.29	1.52	Kanu	2.0	
1.0	0.0	430901.48	3.87	1.32	4.7	1.22	0.17	7.0	0.0	0.0	3.42	1.0	232758.64	5.71	0.64	3.52	1.6	Toaster	2.0	
1.0	0.0	159714.52	1.94	1.29	4.69	1.35	15.42	6.0	0.0	0.0	8.56	0.0	40185.79	5.88	0.5	3.25	1.77	Zettel	2.0	
1.0	0.0	388353.13	5.5	0.82	4.63	1.41	0.38	11.0	0.0	0.0	1.28	1.0	187924.59	4.17	1.82	3.0	1.67	Kastagnette	4.0	
1.0	0.0	262462.49	5.13	1.45	4.63	1.54	9.47	5.0	0.0	0.0	20.98	1.0	169065.2	4.0	1.59	2.5	1.63	Laute	2.0	
1.0	0.0	150203.33	1.44	0.78	4.61	1.65	1.64	5.0	0.0	1.0	6.85	0.0	27410.5	5.94	0.24	4.0	1.81	Nudel	2.0	
1.0	0.0	117463.04	1.57	0.66	4.52	1.47	41.15	4.0	0.0	0.0	20.55	0.0	105843.57	5.95	0.22	4.0	1.52	Brot	1.0	
1.0	0.0	569395.64	1.88	1.02	4.5	1.59	3.84	8.0	0.0	0.0	3.0	0.0	391916.72	5.88	0.34	4.13	1.75	Brötchen	2.0	
1.0	0.0	208476.17	1.94	1.06	4.47	1.55	1.82	5.0	0.0	0.0	7.28	0.0	106974.74	5.38	0.89	3.94	1.44	Spind	1.0	
1.0	0.0	69677.19	5.0	na	4.44	na	0.3	5.0	0.0	0.0	6.42	1.0	26362.89	4.0	1.73	3.88	na	Banjo	2.0	
1.0	0.0	432916.17	1.83	0.83	4.35	1.23	6.81	10.0	0.0	0.0	3.0	0.0	182162.53	5.9	0.3	4.0	1.73	Schokolade	4.0	
1.0	0.0	176532.84	1.17	0.49	4.3	1.49	7.87	5.0	0.0	0.0	8.99	0.0	116975.5	5.76	0.54	3.52	2.02	Wurst	1.0	
1.0	0.0	548912.4	5.0	1.75	4.25	1.65	0.87	10.0	0.0	0.0	2.14	1.0	236406.95	5.38	1.02	2.5	1.55	Verstärker	3.0	
1.0	0.0	114380.88	2.0	0.97	4.17	1.54	0.49	7.0	0.0	0.0	2.14	0.0	55021.59	5.61	0.7	3.67	2.0	Stöpsel	2.0	
1.0	0.0	100364.18	1.13	0.46	4.04	1.33	0.81	6.0	0.0	0.0	5.57	0.0	38296.26	5.81	0.4	4.0	1.58	Salami	3.0	
1.0	0.0	489361.98	1.11	0.32	4.0	1.5	21.23	5.0	0.0	0.0	15.41	0.0	364229.28	5.67	0.84	3.72	1.84	Faden	2.0	
1.0	0.0	45791.85	1.27	na	4.0	na	13.52	4.0	0.0	0.0	15.41	0.0	20706.61	6.0	0.0	4.13	na	Korb	1.0	
1.0	0.0	158478.81	1.31	0.48	4.0	1.59	5.65	5.0	0.0	0.0	9.85	0.0	152496.51	5.88	0.34	3.06	1.57	Mappe	2.0	
1.0	0.0	470166.51	1.5	0.79	4.0	1.41	6.03	9.0	0.0	0.0	3.85	0.0	107901.96	5.83	0.51	3.72	1.78	Schachtel	2.0	
1.0	0.0	303341.91	1.0	na	3.93	na	9.69	6.0	0.0	0.0	3.85	0.0	160132.59	5.96	0.2	3.47	na	Schnur	1.0	
1.0	0.0	128228.67	1.07	na	3.93	na	0.56	8.0	0.0	0.0	0.86	0.0	15414.08	5.63	0.71	4.53	na	Teleskop	3.0	
1.0	0.0	251519.35	1.06	na	3.88	na	4.58	5.0	0.0	0.0	20.55	0.0	170499.67	5.88	0.34	3.81	na	Kanne	2.0	
1.0	0.0	304238.89	1.5	0.73	3.88	1.67	18.86	5.0	0.0	0.0	16.27	0.0	194064.49	5.63	1.02	3.81	1.87	Kiste	2.0	
1.0	0.0	225791.68	1.22	0.67	3.87	1.32	16.69	6.0	0.0	0.0	8.13	0.0	84690.04	5.81	0.4	4.52	1.66	Schild	1.0	
1.0	0.0	317888.02	1.07	na	3.87	na	2.02	6.0	0.0	0.0	9.85	0.0	208521.35	5.88	0.34	4.0	na	Hocker	2.0	
1.0	0.0	235205.17	1.13	na	3.87	na	6.07	5.0	0.0	0.0	14.98	0.0	155369.19	5.63	0.71	3.27	na	Trage	2.0	
1.0	0.0	188638.52	5.73	na	3.87	na	2.95	5.0	0.0	0.0	11.13	1.0	145431.29	4.57	1.8	3.67	na	Pauke	2.0	
1.0	0.0	631939.42	1.09	0.29	3.83	1.4	3.08	11.0	0.0	0.0	1.28	0.0	232306.9	5.43	0.87	4.14	1.71	Thermometer	4.0	
1.0	0.0	166429.48	1.0	na	3.81	na	14.01	5.0	0.0	0.0	5.57	0.0	150448.01	5.96	0.2	4.38	na	Mütze	2.0	
1.0	0.0	369485.69	1.44	0.81	3.81	1.6	18.47	6.0	0.0	0.0	17.12	0.0	185549.66	5.56	0.89	3.38	2.03	Schale	2.0	
1.0	0.0	136879.84	5.25	na	3.81	na	1.02	4.0	0.0	0.0	5.14	1.0	135401.12	4.81	1.57	3.38	na	Oboe	3.0	
1.0	0.0	116571.31	5.56	na	3.81	na	10.14	5.0	0.0	0.0	7.28	1.0	29411.02	5.05	1.24	3.56	na	Orgel	2.0	
1.0	0.0	192287.37	1.38	0.89	3.75	1.18	0.51	6.0	0.0	0.0	3.85	0.0	47816.16	5.38	1.02	3.56	1.59	Kordel	2.0	
